ip.version,ip.hdr_len,ip.id,ip.flags,ip.flags.rb,ip.flags.df,ip.flags.mf,ip.frag_offset,ip.ttl,ip.proto,ip.checksum,ip.src,ip.dst,ip.len,ip.dsfield,tcp.srcport,tcp.dstport,tcp.seq,tcp.ack,tcp.len,tcp.hdr_len,tcp.flags,tcp.flags.fin,tcp.flags.syn,tcp.flags.reset,tcp.flags.push,tcp.flags.ack,tcp.flags.urg,tcp.flags.cwr,tcp.window_size,tcp.checksum,tcp.urgent_pointer,tcp.time_delta,tcp.stream,frame.time_relative,frame.len,stream_key,average_time_delta,std_time_delta,average_ttl,std_ttl,average_len,std_len,os
4,20,0xa99e,64,0,1,0,0,128,6,0x0000,10.0.0.10,82.102.180.152,40,0,62648,443,1,32,0,20,16,0,0,0,0,1,0,0,1023,0x1123,0,5e-05,1,1.937477,54,1,3.6e-05,1.9798989873223333e-05,128.0,0.0,0.0,0.0,Windows
4,20,0xa99f,64,0,1,0,0,128,6,0x0000,10.0.0.10,82.102.180.152,40,0,62648,443,1,33,0,20,16,0,0,0,0,1,0,0,1023,0x1123,0,2.2e-05,1,1.937734,54,1,3.6e-05,1.9798989873223333e-05,128.0,0.0,0.0,0.0,Windows
4,20,0xa8e5,64,0,1,0,0,128,6,0x0000,10.0.0.10,140.82.121.5,40,0,62620,443,1,41,0,20,16,0,0,0,0,1,0,0,510,0x0f7c,0,0.000111,3,9.891798,54,2,0.0001345,3.3234018715767726e-05,128.0,0.0,0.0,0.0,Windows
4,20,0xa8e6,64,0,1,0,0,128,6,0x0000,10.0.0.10,140.82.121.5,40,0,62620,443,1,41,0,20,17,1,0,0,0,1,0,0,510,0x0f7c,0,0.000158,3,9.891956,54,2,0.0001345,3.3234018715767726e-05,128.0,0.0,0.0,0.0,Windows
4,20,0x2702,64,0,1,0,0,128,6,0x0000,10.0.0.10,142.250.186.100,52,0,62657,443,0,0,0,32,2,0,1,0,0,0,0,0,64240,0x538f,0,0.0,7,17.686163,66,6,0.0001425,0.00015065283859847374,128.0,0.0,222.4,411.075608076611,Windows
4,20,0x2703,64,0,1,0,0,128,6,0x0000,10.0.0.10,142.250.186.100,40,0,62657,443,1,1,0,20,16,0,0,0,0,1,0,0,131840,0x5383,0,9.3e-05,7,17.757217,54,6,0.0001425,0.00015065283859847374,128.0,0.0,222.4,411.075608076611,Windows
4,20,0x2704,64,0,1,0,0,128,6,0x0000,10.0.0.10,142.250.186.100,557,0,62657,443,1,1,517,20,24,0,0,0,1,1,0,0,131840,0x5588,0,0.000285,7,17.757502,571,6,0.0001425,0.00015065283859847374,128.0,0.0,222.4,411.075608076611,Windows
4,20,0x2705,64,0,1,0,0,128,6,0x0000,10.0.0.10,142.250.186.100,40,0,62657,443,518,4430,0,20,16,0,0,0,0,1,0,0,131840,0x5383,0,8.1e-05,7,17.883608,54,6,0.0001425,0.00015065283859847374,128.0,0.0,222.4,411.075608076611,Windows
4,20,0x2706,64,0,1,0,0,128,6,0x0000,10.0.0.10,142.250.186.100,114,0,62657,443,518,4430,74,20,24,0,0,0,1,1,0,0,131840,0x53cd,0,0.000496,7,17.884104,128,6,0.0001425,0.00015065283859847374,128.0,0.0,222.4,411.075608076611,Windows
4,20,0x2707,64,0,1,0,0,128,6,0x0000,10.0.0.10,142.250.186.100,132,0,62657,443,592,4430,92,20,24,0,0,0,1,1,0,0,131840,0x53df,0,0.000181,7,17.884285,146,6,0.0001425,0.00015065283859847374,128.0,0.0,222.4,411.075608076611,Windows
