ip.version,ip.hdr_len,ip.tos,ip.id,ip.flags,ip.flags.rb,ip.flags.df,ip.flags.mf,ip.frag_offset,ip.ttl,ip.proto,ip.checksum,ip.src,ip.dst,ip.len,ip.dsfield,tcp.srcport,tcp.dstport,tcp.seq,tcp.ack,tcp.len,tcp.hdr_len,tcp.flags,tcp.flags.fin,tcp.flags.syn,tcp.flags.reset,tcp.flags.push,tcp.flags.ack,tcp.flags.urg,tcp.flags.cwr,tcp.window_size,tcp.checksum,tcp.urgent_pointer,tcp.options.mss_val
"4","20",,"0x0000","0x40","0","1","0","0","64","6","0x5eb0","192.168.1.56","104.78.177.217","64","0x00","57627","443","0","0","0","44","0x0002","0","1","0","0","0","0","0","65535","0x9bb3","0","1460"
"4","20",,"0x0000","0x40","0","1","0","0","57","6","0x65b4","104.78.177.217","192.168.1.56","60","0x00","443","57627","0","1","0","40","0x0012","0","1","0","0","1","0","0","65160","0xb4c3","0","1360"
"4","20",,"0x0000","0x40","0","1","0","0","64","6","0xb85b","192.168.1.56","172.217.19.163","64","0x00","57628","443","0","0","0","44","0x0002","0","1","0","0","0","0","0","65535","0xe4fb","0","1460"
"4","20",,"0x0000","0x40","0","1","0","0","64","6","0x4b2b","192.168.1.56","95.100.206.72","64","0x00","57633","443","0","0","0","44","0x0002","0","1","0","0","0","0","0","65535","0xb4fa","0","1460"
"4","20",,"0x0000","0x40","0","1","0","0","60","6","0x4f2f","95.100.206.72","192.168.1.56","60","0x00","443","57633","0","1","0","40","0x0012","0","1","0","0","1","0","0","65160","0xdf75","0","1360"
"4","20",,"0x9b3e","0x00","0","0","0","0","111","6","0x2e21","172.217.19.163","192.168.1.56","60","0x00","443","57628","0","1","0","40","0x0012","0","1","0","0","1","0","0","65535","0x63bb","0","1360"
"4","20",,"0x0000","0x40","0","1","0","0","64","6","0xb9f1","192.168.1.56","46.228.144.2","64","0x00","57634","443","0","0","0","44","0x0002","0","1","0","0","0","0","0","65535","0xc343","0","1460"
"4","20",,"0x0000","0x40","0","1","0","0","64","6","0xb9f1","192.168.1.56","46.228.144.2","64","0x00","57635","443","0","0","0","44","0x0002","0","1","0","0","0","0","0","65535","0x2114","0","1460"
"4","20",,"0x0000","0x40","0","1","0","0","64","6","0xb9f1","192.168.1.56","46.228.144.2","64","0x00","57636","443","0","0","0","44","0x0002","0","1","0","0","0","0","0","65535","0x16fc","0","1460"
"4","20",,"0x0000","0x40","0","1","0","0","64","6","0xb9f1","192.168.1.56","46.228.144.2","64","0x00","57637","443","0","0","0","44","0x0002","0","1","0","0","0","0","0","65535","0x1923","0","1460"
"4","20",,"0x0000","0x40","0","1","0","0","64","6","0xb9f1","192.168.1.56","46.228.144.2","64","0x00","57638","443","0","0","0","44","0x0002","0","1","0","0","0","0","0","65535","0xb841","0","1460"
"4","20",,"0x0000","0x40","0","1","0","0","64","6","0x5fc3","192.168.1.56","199.232.81.44","64","0x00","57639","443","0","0","0","44","0x0002","0","1","0","0","0","0","0","65535","0x9f30","0","1460"
"4","20",,"0x0000","0x40","0","1","0","0","64","6","0x08a3","192.168.1.56","104.26.8.27","64","0x00","57640","443","0","0","0","44","0x0002","0","1","0","0","0","0","0","65535","0x5fdd","0","1460"
"4","20",,"0x0000","0x40","0","1","0","0","53","6","0x6ac7","199.232.81.44","192.168.1.56","60","0x00","443","57639","0","1","0","40","0x0012","0","1","0","0","1","0","0","65535","0xec6a","0","1360"
"4","20",,"0x0000","0x40","0","1","0","0","64","6","0x70ee","192.168.1.56","13.225.250.8","64","0x00","57641","443","0","0","0","44","0x0002","0","1","0","0","0","0","0","65535","0x9943","0","1460"
"4","20",,"0x0000","0x40","0","1","0","0","54","6","0xc3f5","46.228.144.2","192.168.1.56","60","0x00","443","57634","0","1","0","40","0x0012","0","1","0","0","1","0","0","65535","0xdeee","0","1360"
