ip.version,ip.hdr_len,ip.tos,ip.id,ip.flags,ip.flags.rb,ip.flags.df,ip.flags.mf,ip.frag_offset,ip.ttl,ip.proto,ip.checksum,ip.src,ip.dst,ip.len,ip.dsfield,tcp.srcport,tcp.dstport,tcp.seq,tcp.ack,tcp.len,tcp.hdr_len,tcp.flags,tcp.flags.fin,tcp.flags.syn,tcp.flags.reset,tcp.flags.push,tcp.flags.ack,tcp.flags.urg,tcp.flags.cwr,tcp.window_size,tcp.checksum,tcp.urgent_pointer,tcp.options.mss_val
"6",,,,,,,,,,,,,,,,"52380","53","0","0","0","32","0x0002","0","1","0","0","0","0","0","64800","0xdcab","0","1440"
"6",,,,,,,,,,,,,,,,"52380","53","0","0","0","32","0x0002","0","1","0","0","0","0","0","64800","0xdcab","0","1440"
"6",,,,,,,,,,,,,,,,"52380","53","0","0","0","32","0x0002","0","1","0","0","0","0","0","64800","0xdcab","0","1440"
"6",,,,,,,,,,,,,,,,"52380","53","0","0","0","32","0x0002","0","1","0","0","0","0","0","64800","0xdcab","0","1440"
"6",,,,,,,,,,,,,,,,"52380","53","0","0","0","32","0x0002","0","1","0","0","0","0","0","64800","0xdcab","0","1440"
"4","20",,"0x9198","0x40","0","1","0","0","128","6","0xab53","10.0.0.4","20.190.159.22","52","0x00","52381","443","0","0","0","32","0x0002","0","1","0","0","0","0","0","65535","0xce67","0","1460"
"4","20",,"0x5008","0x40","0","1","0","0","112","6","0xfce3","20.190.159.22","10.0.0.4","52","0x00","443","52381","0","1","0","32","0x0012","0","1","0","0","1","0","0","65535","0xb8bc","0","1440"
"4","20",,"0x91a0","0x40","0","1","0","0","128","6","0xab4b","10.0.0.4","20.190.159.22","52","0x00","52382","443","0","0","0","32","0x0002","0","1","0","0","0","0","0","64240","0xd854","0","1460"
"4","20",,"0xba7d","0x40","0","1","0","0","112","6","0x926e","20.190.159.22","10.0.0.4","52","0x00","443","52382","0","1","0","32","0x0012","0","1","0","0","1","0","0","65535","0x3c88","0","1440"
"4","20",,"0x2904","0x40","0","1","0","0","128","6","0xf425","10.0.0.4","54.184.156.222","52","0x00","52384","443","0","0","0","32","0x0002","0","1","0","0","0","0","0","64240","0x6541","0","1460"
"4","20",,"0x0000","0x40","0","1","0","0","217","6","0xc429","54.184.156.222","10.0.0.4","52","0x00","443","52384","0","1","0","32","0x0012","0","1","0","0","1","0","0","26883","0x7a58","0","1452"
