ip.version,ip.hdr_len,ip.id,ip.flags,ip.flags.rb,ip.flags.df,ip.flags.mf,ip.frag_offset,ip.ttl,ip.proto,ip.checksum,ip.src,ip.dst,ip.len,ip.dsfield,tcp.srcport,tcp.dstport,tcp.seq,tcp.ack,tcp.len,tcp.hdr_len,tcp.flags,tcp.flags.fin,tcp.flags.syn,tcp.flags.reset,tcp.flags.push,tcp.flags.ack,tcp.flags.urg,tcp.flags.cwr,tcp.window_size,tcp.checksum,tcp.urgent_pointer,tcp.time_delta,tcp.stream,frame.time_relative,frame.len,stream_key,average_time_delta,std_time_delta,average_ttl,std_ttl,average_len,std_len,os
4,20,0x11fc,64,0,1,0,0,64,6,0xb834,10.0.0.7,157.240.195.56,1432,0,33822,443,1,1,1380,32,16,0,0,0,0,1,0,0,3378,0x4c69,0,0.0,1,0.562124,1446,1,8.03e-05,0.00020981264128847065,64.0,0.0,1254.6,396.54961858511473,Linux
4,20,0x11fd,64,0,1,0,0,64,6,0xbd19,10.0.0.7,157.240.195.56,178,0,33822,443,1381,1,126,32,24,0,0,0,1,1,0,0,3378,0xb936,0,1.2e-05,1,0.562136,192,1,8.03e-05,0.00020981264128847065,64.0,0.0,1254.6,396.54961858511473,Linux
4,20,0x11fe,64,0,1,0,0,64,6,0xb832,10.0.0.7,157.240.195.56,1432,0,33822,443,1507,1,1380,32,16,0,0,0,0,1,0,0,3378,0xef3d,0,0.000675,1,0.562811,1446,1,8.03e-05,0.00020981264128847065,64.0,0.0,1254.6,396.54961858511473,Linux
4,20,0x11ff,64,0,1,0,0,64,6,0xb831,10.0.0.7,157.240.195.56,1432,0,33822,443,2887,1,1380,32,24,0,0,0,1,1,0,0,3378,0xaa9c,0,4e-06,1,0.562815,1446,1,8.03e-05,0.00020981264128847065,64.0,0.0,1254.6,396.54961858511473,Linux
4,20,0x1200,64,0,1,0,0,64,6,0xb830,10.0.0.7,157.240.195.56,1432,0,33822,443,4267,1,1380,32,16,0,0,0,0,1,0,0,3378,0x57e9,0,6e-06,1,0.562821,1446,1,8.03e-05,0.00020981264128847065,64.0,0.0,1254.6,396.54961858511473,Linux
4,20,0x1201,64,0,1,0,0,64,6,0xb82f,10.0.0.7,157.240.195.56,1432,0,33822,443,5647,1,1380,32,24,0,0,0,1,1,0,0,3378,0x107b,0,1e-05,1,0.562831,1446,1,8.03e-05,0.00020981264128847065,64.0,0.0,1254.6,396.54961858511473,Linux
4,20,0x1202,64,0,1,0,0,64,6,0xb82e,10.0.0.7,157.240.195.56,1432,0,33822,443,7027,1,1380,32,16,0,0,0,0,1,0,0,3378,0xaa86,0,6.2e-05,1,0.610805,1446,1,8.03e-05,0.00020981264128847065,64.0,0.0,1254.6,396.54961858511473,Linux
4,20,0x1203,64,0,1,0,0,64,6,0xb82d,10.0.0.7,157.240.195.56,1432,0,33822,443,8407,1,1380,32,24,0,0,0,1,1,0,0,3378,0xbc8e,0,2e-06,1,0.610807,1446,1,8.03e-05,0.00020981264128847065,64.0,0.0,1254.6,396.54961858511473,Linux
4,20,0x1204,64,0,1,0,0,64,6,0xb82c,10.0.0.7,157.240.195.56,1432,0,33822,443,9787,1,1380,32,16,0,0,0,0,1,0,0,3378,0xb075,0,3e-05,1,0.612769,1446,1,8.03e-05,0.00020981264128847065,64.0,0.0,1254.6,396.54961858511473,Linux
4,20,0x1205,64,0,1,0,0,64,6,0xb82b,10.0.0.7,157.240.195.56,1432,0,33822,443,11167,1,1380,32,24,0,0,0,1,1,0,0,3378,0x34d8,0,2e-06,1,0.612771,1446,1,8.03e-05,0.00020981264128847065,64.0,0.0,1254.6,396.54961858511473,Linux
4,20,0x1206,64,0,1,0,0,64,6,0xb82a,10.0.0.7,157.240.195.56,1432,0,33822,443,12547,1,1380,32,16,0,0,0,0,1,0,0,3378,0xbcda,0,2.3e-05,1,0.613762,1446,2,3.21e-05,1.543768837042069e-05,64.0,0.0,992.1,628.6048838499428,Linux
4,20,0x1207,64,0,1,0,0,64,6,0xb829,10.0.0.7,157.240.195.56,1432,0,33822,443,13927,1,1380,32,16,0,0,0,0,1,0,0,3378,0x132b,0,1.8e-05,1,0.614997,1446,2,3.21e-05,1.543768837042069e-05,64.0,0.0,992.1,628.6048838499428,Linux
4,20,0x1208,64,0,1,0,0,64,6,0xb828,10.0.0.7,157.240.195.56,1432,0,33822,443,15307,1,1380,32,16,0,0,0,0,1,0,0,3378,0xf020,0,5.7e-05,1,0.659051,1446,2,3.21e-05,1.543768837042069e-05,64.0,0.0,992.1,628.6048838499428,Linux
4,20,0x1209,64,0,1,0,0,64,6,0xb827,10.0.0.7,157.240.195.56,1432,0,33822,443,16687,1,1380,32,16,0,0,0,0,1,0,0,3378,0xbcf8,0,2.9e-05,1,0.661017,1446,2,3.21e-05,1.543768837042069e-05,64.0,0.0,992.1,628.6048838499428,Linux
4,20,0x120a,64,0,1,0,0,64,6,0xb826,10.0.0.7,157.240.195.56,1432,0,33822,443,18067,1,1380,32,24,0,0,0,1,1,0,0,3378,0x66ca,0,3e-06,1,0.66102,1446,2,3.21e-05,1.543768837042069e-05,64.0,0.0,992.1,628.6048838499428,Linux
4,20,0x120b,64,0,1,0,0,64,6,0xb825,10.0.0.7,157.240.195.56,1432,0,33822,443,19447,1,1380,32,16,0,0,0,0,1,0,0,3378,0xfeac,0,3.6e-05,1,0.662276,1446,2,3.21e-05,1.543768837042069e-05,64.0,0.0,992.1,628.6048838499428,Linux
4,20,0x120c,64,0,1,0,0,64,6,0xb824,10.0.0.7,157.240.195.56,1432,0,33822,443,20827,1,1380,32,16,0,0,0,0,1,0,0,3378,0xc9e5,0,4.3e-05,1,0.663298,1446,2,3.21e-05,1.543768837042069e-05,64.0,0.0,992.1,628.6048838499428,Linux
4,20,0x120d,64,0,1,0,0,64,6,0xbc82,10.0.0.7,157.240.195.56,313,0,33822,443,22207,1,261,32,24,0,0,0,1,1,0,0,3378,0x7473,0,3.2e-05,1,0.664222,327,2,3.21e-05,1.543768837042069e-05,64.0,0.0,992.1,628.6048838499428,Linux
