ip.version,ip.hdr_len,ip.tos,ip.id,ip.flags,ip.flags.rb,ip.flags.df,ip.flags.mf,ip.frag_offset,ip.ttl,ip.proto,ip.checksum,ip.src,ip.dst,ip.len,ip.dsfield,tcp.srcport,tcp.dstport,tcp.seq,tcp.ack,tcp.len,tcp.hdr_len,tcp.flags,tcp.flags.fin,tcp.flags.syn,tcp.flags.reset,tcp.flags.push,tcp.flags.ack,tcp.flags.urg,tcp.flags.cwr,tcp.window_size,tcp.checksum,tcp.urgent_pointer,tcp.options.mss_val,tcp.time_delta
"4","20",,"0x7acc","0x40","0","1","0","0","64","6","0x07a5","10.100.102.8","142.250.184.228","60","0x00","48228","443","0","0","0","40","0x0002","0","1","0","0","0","0","0","29200","0xb879","0","1460","0.000000000"
"4","20",,"0xbef4","0x00","0","0","0","0","118","6","0xcd7c","142.250.184.228","10.100.102.8","60","0x00","443","48228","0","1","0","40","0x0012","0","1","0","0","1","0","0","65535","0x4478","0","1430","0.066914000"
"4","20",,"0x8930","0x40","0","1","0","0","64","6","0x7ce5","10.100.102.8","172.217.23.97","60","0x00","34020","443","0","0","0","40","0x0002","0","1","0","0","0","0","0","29200","0x34d5","0","1460","0.000000000"
"4","20",,"0xc7f0","0x40","0","1","0","0","64","6","0xb981","10.100.102.8","142.250.185.227","60","0x00","54526","443","0","0","0","40","0x0002","0","1","0","0","0","0","0","29200","0xb978","0","1460","0.000000000"
"4","20",,"0x8622","0x00","0","0","0","0","118","6","0x89f3","172.217.23.97","10.100.102.8","60","0x00","443","34020","0","1","0","40","0x0012","0","1","0","0","1","0","0","65535","0x2b57","0","1430","0.066496000"
"4","20",,"0xa50e","0x00","0","0","0","0","118","6","0xe663","142.250.185.227","10.100.102.8","60","0x00","443","54526","0","1","0","40","0x0012","0","1","0","0","1","0","0","65535","0x25b7","0","1430","0.066647000"
"4","20",,"0xb1b6","0x40","0","1","0","0","64","6","0xcef0","10.100.102.8","142.250.186.174","60","0x00","45326","443","0","0","0","40","0x0002","0","1","0","0","0","0","0","29200","0xba43","0","1460","0.000000000"
"4","20",,"0x3306","0x00","0","0","0","0","118","6","0x57a1","142.250.186.174","10.100.102.8","60","0x00","443","45326","0","1","0","40","0x0012","0","1","0","0","1","0","0","65535","0x4378","0","1430","0.069021000"
"4","20",,"0x419e","0x40","0","1","0","0","64","6","0x3f2a","10.100.102.8","142.250.186.141","60","0x00","52470","443","0","0","0","40","0x0002","0","1","0","0","0","0","0","29200","0xba22","0","1460","0.000000000"
"4","20",,"0x33ac","0x00","0","0","0","0","118","6","0x571c","142.250.186.141","10.100.102.8","60","0x00","443","52470","0","1","0","40","0x0012","0","1","0","0","1","0","0","65535","0x3370","0","1430","0.065814000"
"4","20",,"0x0a40","0x40","0","1","0","0","64","6","0x77ab","10.100.102.8","142.250.185.106","60","0x00","39184","443","0","0","0","40","0x0002","0","1","0","0","0","0","0","29200","0xb8ff","0","1460","0.000000000"
"4","20",,"0xd9cd","0x00","0","0","0","0","118","6","0xb21d","142.250.185.106","10.100.102.8","60","0x00","443","39184","0","1","0","40","0x0012","0","1","0","0","1","0","0","65535","0xd67e","0","1430","0.074112000"
"4","20",,"0x3b61","0x40","0","1","0","0","64","6","0x4572","10.100.102.8","142.250.186.130","60","0x00","47854","443","0","0","0","40","0x0002","0","1","0","0","0","0","0","29200","0xba17","0","1460","0.000000000"
"4","20",,"0x3b3d","0x00","0","0","0","0","118","6","0x4f96","142.250.186.130","10.100.102.8","60","0x00","443","47854","0","1","0","40","0x0012","0","1","0","0","1","0","0","65535","0xa8a3","0","1430","0.067642000"
"4","20",,"0x1e4f","0x40","0","1","0","0","64","6","0xabcd","10.100.102.8","95.101.160.206","60","0x00","58356","443","0","0","0","40","0x0002","0","1","0","0","0","0","0","29200","0x70ce","0","1460","0.000000000"
"4","20",,"0x9814","0x40","0","1","0","0","64","6","0x3208","10.100.102.8","95.101.160.206","60","0x00","58358","443","0","0","0","40","0x0002","0","1","0","0","0","0","0","29200","0x70ce","0","1460","0.000000000"
"4","20",,"0x0000","0x40","0","1","0","0","58","6","0xd01c","95.101.160.206","10.100.102.8","60","0x00","443","58356","0","1","0","40","0x0012","0","1","0","0","1","0","0","65160","0x5e70","0","1460","0.006708000"
"4","20",,"0x0000","0x40","0","1","0","0","58","6","0xd01c","95.101.160.206","10.100.102.8","60","0x00","443","58358","0","1","0","40","0x0012","0","1","0","0","1","0","0","65160","0xaed9","0","1460","0.007367000"
"4","20",,"0x4f3b","0x40","0","1","0","0","64","6","0x7ae1","10.100.102.8","95.101.160.206","60","0x00","58360","443","0","0","0","40","0x0002","0","1","0","0","0","0","0","29200","0x70ce","0","1460","0.000000000"
"4","20",,"0x0f18","0x40","0","1","0","0","64","6","0xbb04","10.100.102.8","95.101.160.206","60","0x00","58362","443","0","0","0","40","0x0002","0","1","0","0","0","0","0","29200","0x70ce","0","1460","0.000000000"
