ip.version,ip.hdr_len,ip.tos,ip.id,ip.flags,ip.flags.rb,ip.flags.df,ip.flags.mf,ip.frag_offset,ip.ttl,ip.proto,ip.checksum,ip.src,ip.dst,ip.len,ip.dsfield,tcp.srcport,tcp.dstport,tcp.seq,tcp.ack,tcp.len,tcp.hdr_len,tcp.flags,tcp.flags.fin,tcp.flags.syn,tcp.flags.reset,tcp.flags.push,tcp.flags.ack,tcp.flags.urg,tcp.flags.cwr,tcp.window_size,tcp.checksum,tcp.urgent_pointer,tcp.options.mss_val,tcp.time_delta
"4","20",,"0x0000","0x40","0","1","0","0","64","6","0x1015","192.168.31.59","142.250.187.197","64","0x00","49584","443","0","0","0","44","0x0002","0","1","0","0","0","0","0","65535","0x92d2","0","1460","0.000000000"
"4","20",,"0x0000","0x40","0","1","0","0","64","6","0x1015","192.168.31.59","142.250.187.197","64","0x00","49585","443","0","0","0","44","0x0002","0","1","0","0","0","0","0","65535","0x4024","0","1460","0.000000000"
"4","20",,"0x92ab","0x00","0","0","0","0","110","6","0x8eed","142.250.187.197","192.168.31.59","60","0x80","443","49584","0","1","0","40","0x0012","0","1","0","0","1","0","0","65535","0x24b3","0","1430","0.082346000"
"4","20",,"0xfcd4","0x00","0","0","0","0","110","6","0x24c4","142.250.187.197","192.168.31.59","60","0x80","443","49585","0","1","0","40","0x0012","0","1","0","0","1","0","0","65535","0xe5ac","0","1430","0.087156000"
"4","20",,"0x0000","0x40","0","1","0","0","64","6","0x03b7","192.168.31.59","142.250.200.35","64","0x00","49586","80","0","0","0","44","0x0002","0","1","0","0","0","0","0","65535","0xb65f","0","1460","0.000000000"
"4","20",,"0xcb6e","0x00","0","0","0","0","112","6","0x47cc","142.250.200.35","192.168.31.59","60","0x80","80","49586","0","1","0","40","0x0012","0","1","0","0","1","0","0","65535","0xc3f7","0","1430","0.086001000"
"4","20",,"0x0000","0x40","0","1","0","0","64","6","0x116c","192.168.31.59","142.250.186.110","64","0x00","49587","443","0","0","0","44","0x0002","0","1","0","0","0","0","0","65535","0xce41","0","1460","0.000000000"
"4","20",,"0xeb00","0x00","0","0","0","0","105","6","0x3cef","142.250.186.110","192.168.31.59","60","0x80","443","49587","0","1","0","40","0x0012","0","1","0","0","1","0","0","65535","0x90fd","0","1430","0.084922000"
"4","20",,"0x0000","0x40","0","1","0","0","64","6","0x03ac","192.168.31.59","142.250.200.46","64","0x00","49588","443","0","0","0","44","0x0002","0","1","0","0","0","0","0","65535","0x6199","0","1460","0.000000000"
"4","20",,"0xc3c8","0x00","0","0","0","0","110","6","0x5167","142.250.200.46","192.168.31.59","60","0x80","443","49588","0","1","0","40","0x0012","0","1","0","0","1","0","0","65535","0xf4de","0","1430","0.084063000"
"4","20",,"0x0000","0x40","0","1","0","0","64","6","0x11ec","192.168.31.59","142.250.185.238","64","0x00","49589","443","0","0","0","44","0x0002","0","1","0","0","0","0","0","65535","0x8f63","0","1460","0.000000000"
"4","20",,"0x11e2","0x00","0","0","0","0","104","6","0x178e","142.250.185.238","192.168.31.59","60","0x80","443","49589","0","1","0","40","0x0012","0","1","0","0","1","0","0","65535","0x3315","0","1430","0.078615000"
"4","20",,"0x0000","0x40","0","1","0","0","64","6","0x0fec","192.168.31.59","142.250.187.238","64","0x00","49590","443","0","0","0","44","0x0002","0","1","0","0","0","0","0","65535","0x072c","0","1460","0.000000000"
"4","20",,"0x0000","0x40","0","1","0","0","64","6","0x1015","192.168.31.59","142.250.187.197","64","0x00","49591","443","0","0","0","44","0x0002","0","1","0","0","0","0","0","65535","0xd649","0","1460","0.000000000"
"4","20",,"0x9a1b","0x00","0","0","0","0","111","6","0x8654","142.250.187.238","192.168.31.59","60","0x80","443","49590","0","1","0","40","0x0012","0","1","0","0","1","0","0","65535","0xfcf9","0","1430","0.111585000"
"4","20",,"0xd936","0x00","0","0","0","0","111","6","0x4762","142.250.187.197","192.168.31.59","60","0x80","443","49591","0","1","0","40","0x0012","0","1","0","0","1","0","0","65535","0x87ee","0","1430","0.080814000"
