ip.version,ip.hdr_len,ip.tos,ip.id,ip.flags,ip.flags.rb,ip.flags.df,ip.flags.mf,ip.frag_offset,ip.ttl,ip.proto,ip.checksum,ip.src,ip.dst,ip.len,ip.dsfield,tcp.srcport,tcp.dstport,tcp.seq,tcp.ack,tcp.len,tcp.hdr_len,tcp.flags,tcp.flags.fin,tcp.flags.syn,tcp.flags.reset,tcp.flags.push,tcp.flags.ack,tcp.flags.urg,tcp.flags.cwr,tcp.window_size,tcp.checksum,tcp.urgent_pointer,tcp.options.mss_val,tcp.time_delta
4,20,,0x0000f9e1,0x00000040,0,1,0,0,128,6,0x0000f504,192.168.1.34,198.251.131.23,52,0x00000000,51007,443,0,0,0,32,0x00000002,0,1,0,0,0,0,0,64240,0x0000bdf6,0,1460,0
4,20,,0x0000fa52,0x00000040,0,1,0,0,128,6,0x0000f493,192.168.1.34,198.251.131.23,52,0x00000000,51007,443,0,0,0,32,0x00000002,0,1,0,0,0,0,0,64240,0x0000bdf6,0,1460,2.007747
4,20,,0x0000fa89,0x00000040,0,1,0,0,128,6,0x0000f45c,192.168.1.34,198.251.131.23,52,0x00000000,51008,443,0,0,0,32,0x00000002,0,1,0,0,0,0,0,64240,0x00003c18,0,1460,0
4,20,,0x00000000,0x00000040,0,1,0,0,43,6,0x000043e7,198.251.131.23,192.168.1.34,52,0x00000000,443,51008,0,1,0,32,0x00000012,0,1,0,0,1,0,0,26883,0x0000e674,0,1400,0.155155
4,20,,0x00006644,0x00000040,0,1,0,0,128,6,0x000010ee,192.168.1.34,20.189.173.10,52,0x00000000,51009,443,0,0,0,32,0x00000002,0,1,0,0,0,0,0,64240,0x0000cb65,0,1460,0
4,20,,0x00009d7f,0x00000040,0,1,0,0,104,6,0x0000f1b2,20.189.173.10,192.168.1.34,52,0x00000000,443,51009,0,1,0,32,0x00000012,0,1,0,0,1,0,0,65535,0x0000ff9b,0,1380,0.219356
4,20,,0x0000337f,0x00000040,0,1,0,0,128,6,0x00004bd4,192.168.1.34,170.114.15.52,52,0x00000000,51010,443,0,0,0,32,0x00000002,0,1,0,0,0,0,0,64240,0x00007514,0,1460,0
4,20,,0x00000000,0x00000040,0,1,0,0,49,6,0x0000ce53,170.114.15.52,192.168.1.34,52,0x00000000,443,51010,0,1,0,32,0x00000012,0,1,0,0,1,0,0,26883,0x0000ce02,0,1380,0.153132
4,20,,0x00002fbf,0x00000040,0,1,0,0,128,6,0x00005c8d,192.168.1.34,170.114.2.59,52,0x00000000,51011,443,0,0,0,32,0x00000002,0,1,0,0,0,0,0,64240,0x0000887e,0,1460,0
4,20,,0x000031c7,0x00000040,0,1,0,0,128,6,0x00005279,192.168.1.34,170.114.10.71,52,0x00000000,51012,443,0,0,0,32,0x00000002,0,1,0,0,0,0,0,64240,0x0000fe1a,0,1460,0
4,20,,0x00002fc0,0x00000040,0,1,0,0,128,6,0x00005c8c,192.168.1.34,170.114.2.59,52,0x00000000,51013,443,0,0,0,32,0x00000002,0,1,0,0,0,0,0,64240,0x0000d3c3,0,1460,0
4,20,,0x00002fc1,0x00000040,0,1,0,0,128,6,0x00005c8b,192.168.1.34,170.114.2.59,52,0x00000000,51014,443,0,0,0,32,0x00000002,0,1,0,0,0,0,0,64240,0x00005f5b,0,1460,0
4,20,,0x000031c8,0x00000040,0,1,0,0,128,6,0x00005278,192.168.1.34,170.114.10.71,52,0x00000000,51015,443,0,0,0,32,0x00000002,0,1,0,0,0,0,0,64240,0x00007388,0,1460,0
4,20,,0x00002fc2,0x00000040,0,1,0,0,128,6,0x00005c8a,192.168.1.34,170.114.2.59,52,0x00000000,51016,443,0,0,0,32,0x00000002,0,1,0,0,0,0,0,64240,0x0000aee9,0,1460,0
4,20,,0x00002fc3,0x00000040,0,1,0,0,128,6,0x00005c89,192.168.1.34,170.114.2.59,52,0x00000000,51017,443,0,0,0,32,0x00000002,0,1,0,0,0,0,0,64240,0x00009013,0,1460,0
4,20,,0x00000000,0x00000040,0,1,0,0,43,6,0x0000e14c,170.114.2.59,192.168.1.34,52,0x00000000,443,51011,0,1,0,32,0x00000012,0,1,0,0,1,0,0,26883,0x00006911,0,1380,0.613353
4,20,,0x00002fc6,0x00000040,0,1,0,0,128,6,0x00005c86,192.168.1.34,170.114.2.59,52,0x00000000,51013,443,0,0,0,32,0x00000002,0,1,0,0,0,0,0,64240,0x0000d3c3,0,1460,1.004266
4,20,,0x000031c9,0x00000040,0,1,0,0,128,6,0x00005277,192.168.1.34,170.114.10.71,52,0x00000000,51015,443,0,0,0,32,0x00000002,0,1,0,0,0,0,0,64240,0x00007388,0,1460,1.001908
4,20,,0x000031ca,0x00000040,0,1,0,0,128,6,0x00005276,192.168.1.34,170.114.10.71,52,0x00000000,51012,443,0,0,0,32,0x00000002,0,1,0,0,0,0,0,64240,0x0000fe1a,0,1460,1.005484
4,20,,0x00002fc7,0x00000040,0,1,0,0,128,6,0x00005c85,192.168.1.34,170.114.2.59,52,0x00000000,51014,443,0,0,0,32,0x00000002,0,1,0,0,0,0,0,64240,0x00005f5b,0,1460,1.004384
4,20,,0x00002fc8,0x00000040,0,1,0,0,128,6,0x00005c84,192.168.1.34,170.114.2.59,52,0x00000000,51016,443,0,0,0,32,0x00000002,0,1,0,0,0,0,0,64240,0x0000aee9,0,1460,1.001812
4,20,,0x00002fc9,0x00000040,0,1,0,0,128,6,0x00005c83,192.168.1.34,170.114.2.59,52,0x00000000,51017,443,0,0,0,32,0x00000002,0,1,0,0,0,0,0,64240,0x00009013,0,1460,1.015287
4,20,,0x00000000,0x00000040,0,1,0,0,43,6,0x0000e14c,170.114.2.59,192.168.1.34,52,0x00000000,443,51011,0,1,0,32,0x00000012,0,1,0,0,1,0,0,26883,0x00006911,0,1380,1.018402
4,20,,0x00002fcf,0x00000040,0,1,0,0,128,6,0x00005c7d,192.168.1.34,170.114.2.59,52,0x00000000,51016,443,0,0,0,32,0x00000002,0,1,0,0,0,0,0,64240,0x0000aee9,0,1460,2.003677
4,20,,0x000031cb,0x00000040,0,1,0,0,128,6,0x00005275,192.168.1.34,170.114.10.71,52,0x00000000,51015,443,0,0,0,32,0x00000002,0,1,0,0,0,0,0,64240,0x00007388,0,1460,2.004829
4,20,,0x00002fd0,0x00000040,0,1,0,0,128,6,0x00005c7c,192.168.1.34,170.114.2.59,52,0x00000000,51013,443,0,0,0,32,0x00000002,0,1,0,0,0,0,0,64240,0x0000d3c3,0,1460,2.004836
4,20,,0x000031cc,0x00000040,0,1,0,0,128,6,0x00005274,192.168.1.34,170.114.10.71,52,0x00000000,51012,443,0,0,0,32,0x00000002,0,1,0,0,0,0,0,64240,0x0000fe1a,0,1460,2.004809
4,20,,0x00002fd1,0x00000040,0,1,0,0,128,6,0x00005c7b,192.168.1.34,170.114.2.59,52,0x00000000,51014,443,0,0,0,32,0x00000002,0,1,0,0,0,0,0,64240,0x00005f5b,0,1460,2.003708
4,20,,0x00002fd2,0x00000040,0,1,0,0,128,6,0x00005c7a,192.168.1.34,170.114.2.59,52,0x00000000,51017,443,0,0,0,32,0x00000002,0,1,0,0,0,0,0,64240,0x00009013,0,1460,2.005198
4,20,,0x0000a7d3,0x00000040,0,1,0,0,128,6,0x0000b06f,192.168.1.34,72.246.151.192,52,0x00000000,51018,443,0,0,0,32,0x00000002,0,1,0,0,0,0,0,64240,0x0000bff7,0,1460,0
4,20,,0x0000a7d4,0x00000040,0,1,0,0,128,6,0x0000b06e,192.168.1.34,72.246.151.192,52,0x00000000,51019,443,0,0,0,32,0x00000002,0,1,0,0,0,0,0,64240,0x000071b2,0,1460,0
4,20,,0x0000a7d5,0x00000040,0,1,0,0,128,6,0x0000b06d,192.168.1.34,72.246.151.192,52,0x00000000,51018,443,0,0,0,32,0x00000002,0,1,0,0,0,0,0,64240,0x0000bff7,0,1460,1.008889
4,20,,0x0000a7d6,0x00000040,0,1,0,0,128,6,0x0000b06c,192.168.1.34,72.246.151.192,52,0x00000000,51019,443,0,0,0,32,0x00000002,0,1,0,0,0,0,0,64240,0x000071b2,0,1460,1.008368
4,20,,0x000031cd,0x00000040,0,1,0,0,128,6,0x00005273,192.168.1.34,170.114.10.71,52,0x00000000,51015,443,0,0,0,32,0x00000002,0,1,0,0,0,0,0,64240,0x00007388,0,1460,4.006783
4,20,,0x00002fd9,0x00000040,0,1,0,0,128,6,0x00005c73,192.168.1.34,170.114.2.59,52,0x00000000,51013,443,0,0,0,32,0x00000002,0,1,0,0,0,0,0,64240,0x0000d3c3,0,1460,4.006784
4,20,,0x00002fda,0x00000040,0,1,0,0,128,6,0x00005c72,192.168.1.34,170.114.2.59,52,0x00000000,51016,443,0,0,0,32,0x00000002,0,1,0,0,0,0,0,64240,0x0000aee9,0,1460,4.006784
4,20,,0x00002fdb,0x00000040,0,1,0,0,128,6,0x00005c71,192.168.1.34,170.114.2.59,52,0x00000000,51014,443,0,0,0,32,0x00000002,0,1,0,0,0,0,0,64240,0x00005f5b,0,1460,4.006794
4,20,,0x000031ce,0x00000040,0,1,0,0,128,6,0x00005272,192.168.1.34,170.114.10.71,52,0x00000000,51012,443,0,0,0,32,0x00000002,0,1,0,0,0,0,0,64240,0x0000fe1a,0,1460,4.007439
4,20,,0x00002fdc,0x00000040,0,1,0,0,128,6,0x00005c70,192.168.1.34,170.114.2.59,52,0x00000000,51017,443,0,0,0,32,0x00000002,0,1,0,0,0,0,0,64240,0x00009013,0,1460,4.00672
