ip.version,ip.hdr_len,ip.tos,ip.id,ip.flags,ip.flags.rb,ip.flags.df,ip.flags.mf,ip.frag_offset,ip.ttl,ip.proto,ip.checksum,ip.src,ip.dst,ip.len,ip.dsfield,tcp.srcport,tcp.dstport,tcp.seq,tcp.ack,tcp.len,tcp.hdr_len,tcp.flags,tcp.flags.fin,tcp.flags.syn,tcp.flags.reset,tcp.flags.push,tcp.flags.ack,tcp.flags.urg,tcp.flags.cwr,tcp.window_size,tcp.checksum,tcp.urgent_pointer,tcp.options.mss_val,tcp.time_delta
"4","20",,"0x00004eff","0x00000040","0","1","0","0","128","6","0x00000000","192.168.1.105","142.250.185.238","52","0x00000000","63688","443","0","0","0","32","0x00000002","0","1","0","0","0","0","0","64240","0x00000b21","0","1460","0.000000000"
"4","20",,"0x00008ca3","0x00000000","0","0","0","0","122","6","0x0000a8a6","142.250.185.238","192.168.1.105","52","0x00000080","443","63688","0","1","0","32","0x00000012","0","1","0","0","1","0","0","65535","0x0000937c","0","1430","0.359294000"
"4","20",,"0x0000548a","0x00000040","0","1","0","0","128","6","0x00000000","192.168.1.105","65.9.108.80","52","0x00000000","63689","443","0","0","0","32","0x00000002","0","1","0","0","0","0","0","64240","0x00006f91","0","1460","0.000000000"
"4","20",,"0x0000548b","0x00000040","0","1","0","0","128","6","0x00000000","192.168.1.105","65.9.108.80","52","0x00000000","63690","443","0","0","0","32","0x00000002","0","1","0","0","0","0","0","64240","0x00006f91","0","1460","0.000000000"
"4","20",,"0x00002198","0x00000000","0","0","0","0","246","6","0x000033c1","65.9.108.80","192.168.1.105","52","0x00000000","443","63690","0","1","0","32","0x00000012","0","1","0","0","1","0","0","65535","0x00003433","0","1440","0.016081000"
"4","20",,"0x000061e1","0x00000000","0","0","0","0","245","6","0x0000f477","65.9.108.80","192.168.1.105","52","0x00000000","443","63689","0","1","0","32","0x00000012","0","1","0","0","1","0","0","65535","0x0000ef61","0","1440","0.018506000"
"4","20",,"0x00002fa9","0x00000040","0","1","0","0","128","6","0x00000000","192.168.1.105","65.9.108.42","52","0x00000000","63691","443","0","0","0","32","0x00000002","0","1","0","0","0","0","0","64240","0x00006f6b","0","1460","0.000000000"
"4","20",,"0x0000309f","0x00000040","0","1","0","0","128","6","0x00000000","192.168.1.105","63.35.32.98","52","0x00000000","63692","443","0","0","0","32","0x00000002","0","1","0","0","0","0","0","64240","0x000021bd","0","1460","0.000000000"
"4","20",,"0x00006617","0x00000000","0","0","0","0","246","6","0x0000ef67","65.9.108.42","192.168.1.105","52","0x00000000","443","63691","0","1","0","32","0x00000012","0","1","0","0","1","0","0","65535","0x0000596e","0","1440","0.005172000"
"4","20",,"0x00000000","0x00000040","0","1","0","0","233","6","0x00006fe5","63.35.32.98","192.168.1.105","52","0x00000048","443","63692","0","1","0","32","0x00000012","0","1","0","0","1","0","0","26883","0x0000f092","0","1440","0.076474000"
"4","20",,"0x0000cb24","0x00000040","0","1","0","0","128","6","0x00000000","192.168.1.105","13.225.250.50","52","0x00000000","63693","443","0","0","0","32","0x00000002","0","1","0","0","0","0","0","64240","0x0000ca4b","0","1460","0.000000000"
"4","20",,"0x0000f6cd","0x00000000","0","0","0","0","245","6","0x000004d1","13.225.250.50","192.168.1.105","52","0x00000000","443","63693","0","1","0","32","0x00000012","0","1","0","0","1","0","0","65535","0x00008f01","0","1440","0.010727000"
"4","20",,"0x0000b002","0x00000040","0","1","0","0","128","6","0x00000000","192.168.1.105","23.46.165.159","52","0x00000000","63694","443","0","0","0","32","0x00000002","0","1","0","0","0","0","0","64240","0x00007f05","0","1460","0.000000000"
