ip.version,ip.hdr_len,ip.tos,ip.id,ip.flags,ip.flags.rb,ip.flags.df,ip.flags.mf,ip.frag_offset,ip.ttl,ip.proto,ip.checksum,ip.src,ip.dst,ip.len,ip.dsfield,tcp.srcport,tcp.dstport,tcp.seq,tcp.ack,tcp.len,tcp.hdr_len,tcp.flags,tcp.flags.fin,tcp.flags.syn,tcp.flags.reset,tcp.flags.push,tcp.flags.ack,tcp.flags.urg,tcp.flags.cwr,tcp.window_size,tcp.checksum,tcp.urgent_pointer,tcp.options.mss_val,tcp.time_delta
"4","20",,"0x00000000","0x00000040","0","1","0","0","64","6","0x00009a14","192.168.0.10","18.156.205.85","64","0x00000000","51770","443","0","0","0","44","0x00000002","0","1","0","0","0","0","0","0","0x00008d36","0","1460","0.000000000"
"4","20",,"0x00000000","0x00000040","0","1","0","0","237","6","0x0000ed17","18.156.205.85","192.168.0.10","60","0x00000000","443","51770","0","1","0","40","0x00000012","0","1","0","0","1","0","0","62643","0x0000bdc3","0","1460","0.066115000"
"4","20",,"0x00000000","0x00000040","0","1","0","0","64","6","0x00004bed","192.168.0.10","173.223.128.57","64","0x00000000","51771","443","0","0","0","44","0x00000002","0","1","0","0","0","0","0","65535","0x00006829","0","1460","0.000000000"
"4","20",,"0x00000000","0x00000040","0","1","0","0","51","6","0x000058f1","173.223.128.57","192.168.0.10","60","0x00000000","443","51771","0","1","0","40","0x00000012","0","1","0","0","1","0","0","65160","0x0000dd50","0","1460","0.069440000"
"4","20",,"0x00000000","0x00000040","0","1","0","0","64","6","0x000036fd","192.168.0.10","142.250.180.14","64","0x00000000","51772","443","0","0","0","44","0x00000002","0","1","0","0","0","0","0","65535","0x00000d92","0","1460","0.000000000"
"4","20",,"0x00000000","0x00000040","0","1","0","0","64","6","0x000030dd","192.168.0.10","142.250.186.46","64","0x00000000","51773","443","0","0","0","44","0x00000002","0","1","0","0","0","0","0","65535","0x000006b7","0","1460","0.000000000"
"4","20",,"0x0000dd0d","0x00000000","0","0","0","0","117","6","0x000064f3","142.250.180.14","192.168.0.10","60","0x00000000","443","51772","0","1","0","40","0x00000012","0","1","0","0","1","0","0","65535","0x000041ff","0","1430","0.075960000"
"4","20",,"0x00000000","0x00000040","0","1","0","0","64","6","0x0000323d","192.168.0.10","142.250.184.206","64","0x00000000","51774","443","0","0","0","44","0x00000002","0","1","0","0","0","0","0","65535","0x0000e7a9","0","1460","0.000000000"
"4","20",,"0x00000000","0x00000040","0","1","0","0","64","6","0x00003195","192.168.0.10","142.250.185.118","64","0x00000000","51775","443","0","0","0","44","0x00000002","0","1","0","0","0","0","0","65535","0x0000cd7b","0","1460","0.000000000"
"4","20",,"0x00000000","0x00000040","0","1","0","0","64","6","0x0000309d","192.168.0.10","142.250.186.110","64","0x00000000","51776","443","0","0","0","44","0x00000002","0","1","0","0","0","0","0","65535","0x0000ad0b","0","1460","0.000000000"
"4","20",,"0x00000000","0x00000040","0","1","0","0","64","6","0x00003141","192.168.0.10","142.250.185.202","64","0x00000000","51777","443","0","0","0","44","0x00000002","0","1","0","0","0","0","0","65535","0x00004127","0","1460","0.000000000"
"4","20",,"0x00000000","0x00000040","0","1","0","0","64","6","0x000030aa","192.168.0.10","142.250.186.97","64","0x00000000","51778","443","0","0","0","44","0x00000002","0","1","0","0","0","0","0","65535","0x0000ec02","0","1460","0.000000000"
"4","20",,"0x00000000","0x00000040","0","1","0","0","64","6","0x0000311d","192.168.0.10","142.250.185.238","64","0x00000000","51779","443","0","0","0","44","0x00000002","0","1","0","0","0","0","0","65535","0x0000fec6","0","1460","0.000000000"
"4","20",,"0x000001c1","0x00000000","0","0","0","0","55","6","0x00007820","142.250.186.46","192.168.0.10","60","0x00000000","443","51773","0","1","0","40","0x00000012","0","1","0","0","1","0","0","65535","0x0000eb71","0","1430","0.067314000"
"4","20",,"0x00009c9b","0x00000000","0","0","0","0","54","6","0x0000dfa5","142.250.184.206","192.168.0.10","60","0x00000000","443","51774","0","1","0","40","0x00000012","0","1","0","0","1","0","0","65535","0x00009a31","0","1430","0.070666000"
"4","20",,"0x0000a0d4","0x00000000","0","0","0","0","55","6","0x0000d8cc","142.250.186.110","192.168.0.10","60","0x00000000","443","51776","0","1","0","40","0x00000012","0","1","0","0","1","0","0","65535","0x000005b9","0","1430","0.067837000"
"4","20",,"0x00009b2c","0x00000000","0","0","0","0","54","6","0x0000e018","142.250.185.202","192.168.0.10","60","0x00000000","443","51777","0","1","0","40","0x00000012","0","1","0","0","1","0","0","65535","0x00003fb3","0","1430","0.067657000"
"4","20",,"0x0000ae21","0x00000000","0","0","0","0","55","6","0x0000cc77","142.250.185.118","192.168.0.10","60","0x00000000","443","51775","0","1","0","40","0x00000012","0","1","0","0","1","0","0","65535","0x00006598","0","1430","0.070704000"
"4","20",,"0x00007057","0x00000000","0","0","0","0","54","6","0x00000a57","142.250.186.97","192.168.0.10","60","0x00000000","443","51778","0","1","0","40","0x00000012","0","1","0","0","1","0","0","65535","0x00001bdb","0","1430","0.070875000"
"4","20",,"0x00000ef7","0x00000000","0","0","0","0","54","6","0x00006c2a","142.250.185.238","192.168.0.10","60","0x00000000","443","51779","0","1","0","40","0x00000012","0","1","0","0","1","0","0","65535","0x0000b2e1","0","1430","0.072551000"
"4","20",,"0x00000000","0x00000040","0","1","0","0","64","6","0x00003128","192.168.0.10","142.250.185.227","64","0x00000000","51780","80","0","0","0","44","0x00000002","0","1","0","0","0","0","0","65535","0x00002464","0","1460","0.000000000"
"4","20",,"0x0000b2a5","0x00000000","0","0","0","0","54","6","0x0000c886","142.250.185.227","192.168.0.10","60","0x00000000","80","51780","0","1","0","40","0x00000012","0","1","0","0","1","0","0","65535","0x0000d676","0","1430","0.072697000"
"4","20",,"0x00000000","0x00000040","0","1","0","0","64","6","0x00004bed","192.168.0.10","173.223.128.57","64","0x00000000","51781","443","0","0","0","44","0x00000002","0","1","0","0","0","0","0","65535","0x0000f5ed","0","1460","0.000000000"
"4","20",,"0x00000000","0x00000040","0","1","0","0","51","6","0x000058f1","173.223.128.57","192.168.0.10","60","0x00000000","443","51781","0","1","0","40","0x00000012","0","1","0","0","1","0","0","65160","0x0000f6d3","0","1460","0.074390000"
"4","20",,"0x00000000","0x00000040","0","1","0","0","51","6","0x000058f1","173.223.128.57","192.168.0.10","60","0x00000000","443","51781","0","1","0","40","0x00000012","0","1","0","0","1","0","0","65160","0x0000f686","0","1460","0.071850000"
"4","20",,"0x00000000","0x00000040","0","1","0","0","64","6","0x0000cd1c","192.168.0.10","216.58.212.174","64","0x00000000","51782","443","0","0","0","44","0x00000002","0","1","0","0","0","0","0","65535","0x000086ee","0","1460","0.000000000"
"4","20",,"0x000066d2","0x00000000","0","0","0","0","55","6","0x0000af4e","216.58.212.174","192.168.0.10","60","0x00000000","443","51782","0","1","0","40","0x00000012","0","1","0","0","1","0","0","65535","0x0000614e","0","1430","0.071759000"
"4","20",,"0x00000000","0x00000040","0","1","0","0","64","6","0x0000e710","192.168.0.10","212.55.190.189","64","0x00000000","51783","443","0","0","0","44","0x00000002","0","1","0","0","0","0","0","65535","0x0000e8ef","0","1460","0.000000000"
"4","20",,"0x00000000","0x00000040","0","1","0","0","56","6","0x0000ef14","212.55.190.189","192.168.0.10","60","0x00000000","443","51783","0","1","0","40","0x00000012","0","1","0","0","1","0","0","65160","0x000075e4","0","1460","0.011644000"
"4","20",,"0x00000000","0x00000040","0","1","0","0","64","6","0x0000cd48","192.168.0.10","216.58.212.130","64","0x00000000","51784","443","0","0","0","44","0x00000002","0","1","0","0","0","0","0","65535","0x0000372d","0","1460","0.000000000"
"4","20",,"0x00000000","0x00000040","0","1","0","0","64","6","0x00003135","192.168.0.10","142.250.185.214","64","0x00000000","51785","443","0","0","0","44","0x00000002","0","1","0","0","0","0","0","65535","0x000089ab","0","1460","0.000000000"
"4","20",,"0x00000000","0x00000040","0","1","0","0","64","6","0x0000308a","192.168.0.10","142.250.186.129","64","0x00000000","51786","443","0","0","0","44","0x00000002","0","1","0","0","0","0","0","65535","0x0000b4cd","0","1460","0.000000000"
"4","20",,"0x00000000","0x00000040","0","1","0","0","64","6","0x000009d1","192.168.0.10","104.26.8.27","64","0x00000000","51787","443","0","0","0","44","0x00000002","0","1","0","0","0","0","0","65535","0x000074aa","0","1460","0.000000000"
"4","20",,"0x00000000","0x00000040","0","1","0","0","64","6","0x00006cf9","192.168.0.10","13.225.255.43","64","0x00000000","51788","443","0","0","0","44","0x00000002","0","1","0","0","0","0","0","65535","0x00008b39","0","1460","0.000000000"
"4","20",,"0x00002380","0x00000000","0","0","0","0","244","6","0x0000d57c","13.225.255.43","192.168.0.10","60","0x00000000","443","51788","0","1","0","40","0x00000012","0","1","0","0","1","0","0","65535","0x0000b114","0","1440","0.007676000"
"4","20",,"0x00000000","0x00000040","0","1","0","0","64","6","0x0000560c","192.168.0.10","87.248.204.1","64","0x00000000","51789","443","0","0","0","44","0x00000002","0","1","0","0","0","0","0","65535","0x0000d6a8","0","1460","0.000000000"
"4","20",,"0x0000ccef","0x00000000","0","0","0","0","55","6","0x0000495d","216.58.212.130","192.168.0.10","60","0x00000000","443","51784","0","1","0","40","0x00000012","0","1","0","0","1","0","0","65535","0x00000b73","0","1430","0.067304000"
"4","20",,"0x000043b3","0x00000000","0","0","0","0","55","6","0x00003686","142.250.185.214","192.168.0.10","60","0x00000000","443","51785","0","1","0","40","0x00000012","0","1","0","0","1","0","0","65535","0x00004205","0","1430","0.075803000"
"4","20",,"0x0000eca5","0x00000000","0","0","0","0","54","6","0x00008de8","142.250.186.129","192.168.0.10","60","0x00000000","443","51786","0","1","0","40","0x00000012","0","1","0","0","1","0","0","65535","0x00000b2b","0","1430","0.077583000"
"4","20",,"0x00000000","0x00000040","0","1","0","0","52","6","0x000015dd","104.26.8.27","192.168.0.10","52","0x00000000","443","51787","0","1","0","32","0x00000012","0","1","0","0","1","0","0","65535","0x00007cfd","0","1400","0.070883000"
"4","20",,"0x00000000","0x00000040","0","1","0","0","64","6","0x00000b51","192.168.0.10","104.26.6.155","64","0x00000000","51790","443","0","0","0","44","0x00000002","0","1","0","0","0","0","0","65535","0x0000f679","0","1460","0.000000000"
"4","20",,"0x00000000","0x00000040","0","1","0","0","53","6","0x00006110","87.248.204.1","192.168.0.10","60","0x00000000","443","51789","0","1","0","40","0x00000012","0","1","0","0","1","0","0","65535","0x00009859","0","1460","0.078600000"
"4","20",,"0x00000000","0x00000040","0","1","0","0","52","6","0x0000175d","104.26.6.155","192.168.0.10","52","0x00000000","443","51790","0","1","0","32","0x00000012","0","1","0","0","1","0","0","65535","0x0000c408","0","1400","0.065672000"
"4","20",,"0x00000000","0x00000040","0","1","0","0","64","6","0x0000873c","192.168.0.10","172.67.70.134","64","0x00000000","51791","443","0","0","0","44","0x00000002","0","1","0","0","0","0","0","65535","0x00003f32","0","1460","0.000000000"
"4","20",,"0x00000000","0x00000040","0","1","0","0","52","6","0x00009348","172.67.70.134","192.168.0.10","52","0x00000000","443","51791","0","1","0","32","0x00000012","0","1","0","0","1","0","0","65535","0x00002a57","0","1400","0.069793000"
"4","20",,"0x00000000","0x00000040","0","1","0","0","64","6","0x00003123","192.168.0.10","142.250.185.232","64","0x00000000","51792","443","0","0","0","44","0x00000002","0","1","0","0","0","0","0","65535","0x0000c96c","0","1460","0.000000000"
"4","20",,"0x000015af","0x00000000","0","0","0","0","55","6","0x00006478","142.250.185.232","192.168.0.10","60","0x00000000","443","51792","0","1","0","40","0x00000012","0","1","0","0","1","0","0","65535","0x000010ca","0","1430","0.072662000"
"4","20",,"0x00000000","0x00000040","0","1","0","0","64","6","0x0000cbce","192.168.0.10","104.21.70.34","64","0x00000000","51793","443","0","0","0","44","0x00000002","0","1","0","0","0","0","0","65535","0x000079b0","0","1460","0.000000000"
"4","20",,"0x00000000","0x00000040","0","1","0","0","64","6","0x00006ce1","192.168.0.10","13.225.255.67","64","0x00000000","51794","443","0","0","0","44","0x00000002","0","1","0","0","0","0","0","65535","0x00003e40","0","1460","0.000000000"
"4","20",,"0x0000cb93","0x00000000","0","0","0","0","244","6","0x00002d51","13.225.255.67","192.168.0.10","60","0x00000000","443","51794","0","1","0","40","0x00000012","0","1","0","0","1","0","0","65535","0x000052cb","0","1440","0.007716000"
"4","20",,"0x00000000","0x00000040","0","1","0","0","64","6","0x0000df70","192.168.0.10","130.211.23.194","64","0x00000000","51795","443","0","0","0","44","0x00000002","0","1","0","0","0","0","0","65535","0x00008b85","0","1460","0.000000000"
"4","20",,"0x00000000","0x00000040","0","1","0","0","64","6","0x00000fd8","192.168.0.10","104.26.2.20","64","0x00000000","51796","443","0","0","0","44","0x00000002","0","1","0","0","0","0","0","65535","0x0000d19f","0","1460","0.000000000"
"4","20",,"0x00000000","0x00000040","0","1","0","0","53","6","0x0000d6da","104.21.70.34","192.168.0.10","52","0x00000000","443","51793","0","1","0","32","0x00000012","0","1","0","0","1","0","0","65535","0x0000b46e","0","1400","0.068821000"
