ip.version,ip.hdr_len,ip.tos,ip.id,ip.flags,ip.flags.rb,ip.flags.df,ip.flags.mf,ip.frag_offset,ip.ttl,ip.proto,ip.checksum,ip.src,ip.dst,ip.len,ip.dsfield,tcp.srcport,tcp.dstport,tcp.seq,tcp.ack,tcp.len,tcp.hdr_len,tcp.flags,tcp.flags.fin,tcp.flags.syn,tcp.flags.reset,tcp.flags.push,tcp.flags.ack,tcp.flags.urg,tcp.flags.cwr,tcp.window_size,tcp.checksum,tcp.urgent_pointer,tcp.options.mss_val,tcp.time_delta
"4","20",,"0x0000","0x40","0","1","0","0","64","6","0xba3d","192.168.1.81","17.248.172.137","64","0x00","63844","443","0","0","0","44","0x0002","0","1","0","0","0","0","0","65535","0x4c5a","0","1460","0.000000000"
"4","20",,"0x0000","0x40","0","1","0","0","43","6","0xcf41","17.248.172.137","192.168.1.81","60","0x00","443","63844","0","1","0","40","0x0012","0","1","0","0","1","0","0","65160","0xc3c0","0","1460","0.091238000"
"6",,,,,,,,,,,,,,,,"51177","443","0","0","0","44","0x0002","0","1","0","0","0","0","0","65535","0xd973","0","1440","0.000000000"
"6",,,,,,,,,,,,,,,,"51178","443","0","0","0","44","0x0002","0","1","0","0","0","0","0","65535","0x574e","0","1440","0.000000000"
"6",,,,,,,,,,,,,,,,"443","51177","0","1","0","40","0x0012","0","1","0","0","1","0","0","65535","0x5e17","0","1440","0.066244000"
"6",,,,,,,,,,,,,,,,"443","51178","0","1","0","40","0x0012","0","1","0","0","1","0","0","65535","0xf055","0","1440","0.092665000"
"6",,,,,,,,,,,,,,,,"51179","443","0","0","0","44","0x0002","0","1","0","0","0","0","0","65535","0xfe50","0","1440","0.000000000"
"6",,,,,,,,,,,,,,,,"443","51179","0","1","0","40","0x0012","0","1","0","0","1","0","0","65535","0x86e5","0","1440","0.085707000"
"6",,,,,,,,,,,,,,,,"51180","443","0","0","0","44","0x0002","0","1","0","0","0","0","0","65535","0xcb0b","0","1440","0.000000000"
"6",,,,,,,,,,,,,,,,"51181","443","0","0","0","44","0x0002","0","1","0","0","0","0","0","65535","0x9b7a","0","1440","0.000000000"
"6",,,,,,,,,,,,,,,,"443","51180","0","1","0","40","0x0012","0","1","0","0","1","0","0","65535","0x74a9","0","1440","0.085480000"
"6",,,,,,,,,,,,,,,,"50677","80","0","0","0","44","0x0002","0","1","0","0","0","0","0","65535","0xf87f","0","1440","0.000000000"
"6",,,,,,,,,,,,,,,,"443","51181","0","1","0","40","0x0012","0","1","0","0","1","0","0","65535","0x6ce6","0","1440","0.067174000"
"6",,,,,,,,,,,,,,,,"80","50677","0","1","0","40","0x0012","0","1","0","0","1","0","0","65535","0x3a58","0","1440","0.082369000"
"6",,,,,,,,,,,,,,,,"51182","443","0","0","0","44","0x0002","0","1","0","0","0","0","0","65535","0x8dfc","0","1440","0.000000000"
"6",,,,,,,,,,,,,,,,"51183","443","0","0","0","44","0x0002","0","1","0","0","0","0","0","65535","0xe186","0","1440","0.000000000"
"6",,,,,,,,,,,,,,,,"443","51182","0","1","0","40","0x0012","0","1","0","0","1","0","0","65535","0x2c62","0","1440","0.063668000"
"6",,,,,,,,,,,,,,,,"443","51183","0","1","0","40","0x0012","0","1","0","0","1","0","0","65535","0x732c","0","1440","0.080234000"
"6",,,,,,,,,,,,,,,,"51184","443","0","0","0","44","0x0002","0","1","0","0","0","0","0","65535","0x5932","0","1440","0.000000000"
"6",,,,,,,,,,,,,,,,"443","51184","0","1","0","40","0x0012","0","1","0","0","1","0","0","65535","0xae61","0","1440","0.085171000"
"6",,,,,,,,,,,,,,,,"51185","443","0","0","0","44","0x0002","0","1","0","0","0","0","0","65535","0xad1d","0","1440","0.000000000"
"6",,,,,,,,,,,,,,,,"443","51185","0","1","0","40","0x0012","0","1","0","0","1","0","0","65535","0x531f","0","1440","0.094034000"
"6",,,,,,,,,,,,,,,,"51186","443","0","0","0","44","0x0002","0","1","0","0","0","0","0","65535","0x472e","0","1440","0.000000000"
"6",,,,,,,,,,,,,,,,"443","51186","0","1","0","40","0x0012","0","1","0","0","1","0","0","65535","0x1835","0","1440","0.061937000"
"6",,,,,,,,,,,,,,,,"51187","443","0","0","0","44","0x0002","0","1","0","0","0","0","0","65535","0x776e","0","1440","0.000000000"
"6",,,,,,,,,,,,,,,,"443","51187","0","1","0","40","0x0012","0","1","0","0","1","0","0","65535","0xe1b4","0","1440","0.017127000"
"4","20",,"0x0000","0x40","0","1","0","0","64","6","0xba1a","192.168.1.81","17.248.172.172","64","0x00","63845","443","0","0","0","44","0x0002","0","1","0","0","0","0","0","65535","0x98f4","0","1460","0.000000000"
"4","20",,"0x0000","0x40","0","1","0","0","43","6","0xcf1e","17.248.172.172","192.168.1.81","60","0x00","443","63845","0","1","0","40","0x0012","0","1","0","0","1","0","0","65160","0xfe82","0","1460","0.083861000"
"6",,,,,,,,,,,,,,,,"51188","443","0","0","0","44","0x0002","0","1","0","0","0","0","0","65535","0x656f","0","1440","0.000000000"
"6",,,,,,,,,,,,,,,,"443","51188","0","1","0","40","0x0012","0","1","0","0","1","0","0","65535","0xe0a1","0","1440","0.066287000"
"6",,,,,,,,,,,,,,,,"51189","443","0","0","0","44","0x0002","0","1","0","0","0","0","0","65535","0x976b","0","1440","0.000000000"
"6",,,,,,,,,,,,,,,,"51190","443","0","0","0","44","0x0002","0","1","0","0","0","0","0","65535","0xc0ab","0","1440","0.000000000"
"6",,,,,,,,,,,,,,,,"443","51189","0","1","0","40","0x0012","0","1","0","0","1","0","0","64260","0xa08f","0","1440","0.016186000"
"6",,,,,,,,,,,,,,,,"443","51190","0","1","0","40","0x0012","0","1","0","0","1","0","0","64260","0x9952","0","1440","0.019591000"
"4","20",,"0x0000","0x40","0","1","0","0","64","6","0xd45e","192.168.1.81","178.79.242.16","64","0x00","51191","443","0","0","0","44","0x0002","0","1","0","0","0","0","0","65535","0x0af3","0","1460","0.000000000"
"4","20",,"0x0000","0x40","0","1","0","0","64","6","0xd45e","192.168.1.81","178.79.242.16","64","0x00","51192","443","0","0","0","44","0x0002","0","1","0","0","0","0","0","65535","0x1e15","0","1460","0.000000000"
"4","20",,"0x0000","0x40","0","1","0","0","64","6","0xd45e","192.168.1.81","178.79.242.16","64","0x00","51193","443","0","0","0","44","0x0002","0","1","0","0","0","0","0","65535","0xa8df","0","1460","0.000000000"
"4","20",,"0x0000","0x40","0","1","0","0","64","6","0x2fe2","192.168.1.81","142.250.185.226","64","0x00","51194","443","0","0","0","44","0x0002","0","1","0","0","0","0","0","65535","0xbf09","0","1460","0.000000000"
"4","20",,"0x0000","0x40","0","1","0","0","64","6","0xe5c9","192.168.1.81","212.55.190.189","64","0x00","51195","443","0","0","0","44","0x0002","0","1","0","0","0","0","0","65535","0x41b7","0","1460","0.000000000"
"4","20",,"0x0000","0x40","0","1","0","0","64","6","0xe5c9","192.168.1.81","212.55.190.189","64","0x00","51196","443","0","0","0","44","0x0002","0","1","0","0","0","0","0","65535","0xe7b1","0","1460","0.000000000"
"4","20",,"0x0000","0x40","0","1","0","0","64","6","0x70bf","192.168.1.81","13.225.250.30","64","0x00","51197","443","0","0","0","44","0x0002","0","1","0","0","0","0","0","65535","0x76aa","0","1460","0.000000000"
"4","20",,"0x0000","0x40","0","1","0","0","64","6","0x70bf","192.168.1.81","13.225.250.30","64","0x00","51198","443","0","0","0","44","0x0002","0","1","0","0","0","0","0","65535","0x02ee","0","1460","0.000000000"
"4","20",,"0x0000","0x40","0","1","0","0","64","6","0x70bf","192.168.1.81","13.225.250.30","64","0x00","51199","443","0","0","0","44","0x0002","0","1","0","0","0","0","0","65535","0xca15","0","1460","0.000000000"
"4","20",,"0x0000","0x40","0","1","0","0","64","6","0x70bf","192.168.1.81","13.225.250.30","64","0x00","51200","443","0","0","0","44","0x0002","0","1","0","0","0","0","0","65535","0x6a0b","0","1460","0.000000000"
"4","20",,"0x0000","0x40","0","1","0","0","64","6","0x70bf","192.168.1.81","13.225.250.30","64","0x00","51201","443","0","0","0","44","0x0002","0","1","0","0","0","0","0","65535","0x35f0","0","1460","0.000000000"
"4","20",,"0x0000","0x40","0","1","0","0","64","6","0x70bf","192.168.1.81","13.225.250.30","64","0x00","51202","443","0","0","0","44","0x0002","0","1","0","0","0","0","0","65535","0xc3b6","0","1460","0.000000000"
"4","20",,"0x0000","0x40","0","1","0","0","56","6","0xedcd","212.55.190.189","192.168.1.81","60","0x00","443","51196","0","1","0","40","0x0012","0","1","0","0","1","0","0","65160","0xe0d1","0","1460","0.011678000"
"4","20",,"0x0000","0x40","0","1","0","0","56","6","0xedcd","212.55.190.189","192.168.1.81","60","0x00","443","51195","0","1","0","40","0x0012","0","1","0","0","1","0","0","65160","0xdd11","0","1460","0.011742000"
"4","20",,"0x5eed","0x00","0","0","0","0","240","6","0xa1d5","13.225.250.30","192.168.1.81","60","0x00","443","51198","0","1","0","40","0x0012","0","1","0","0","1","0","0","65535","0x6852","0","1440","0.013397000"
"4","20",,"0x702e","0x00","0","0","0","0","240","6","0x9094","13.225.250.30","192.168.1.81","60","0x00","443","51197","0","1","0","40","0x0012","0","1","0","0","1","0","0","65535","0x7b8b","0","1440","0.013752000"
"4","20",,"0x13f0","0x00","0","0","0","0","240","6","0xecd2","13.225.250.30","192.168.1.81","60","0x00","443","51200","0","1","0","40","0x0012","0","1","0","0","1","0","0","65535","0xb519","0","1440","0.018550000"
"4","20",,"0x1390","0x00","0","0","0","0","240","6","0xed32","13.225.250.30","192.168.1.81","60","0x00","443","51201","0","1","0","40","0x0012","0","1","0","0","1","0","0","65535","0x9840","0","1440","0.018503000"
"4","20",,"0x4d13","0x00","0","0","0","0","240","6","0xb3af","13.225.250.30","192.168.1.81","60","0x00","443","51199","0","1","0","40","0x0012","0","1","0","0","1","0","0","65535","0xb4f7","0","1440","0.020668000"
"4","20",,"0xfca3","0x00","0","0","0","0","240","6","0x041f","13.225.250.30","192.168.1.81","60","0x00","443","51202","0","1","0","40","0x0012","0","1","0","0","1","0","0","65535","0x9654","0","1440","0.020474000"
"4","20",,"0x0000","0x40","0","1","0","0","51","6","0xe162","178.79.242.16","192.168.1.81","60","0x00","443","51192","0","1","0","40","0x0012","0","1","0","0","1","0","0","65535","0x2785","0","1460","0.073051000"
"4","20",,"0xa8fe","0x00","0","0","0","0","54","6","0xd0e7","142.250.185.226","192.168.1.81","60","0x00","443","51194","0","1","0","40","0x0012","0","1","0","0","1","0","0","65535","0x01df","0","1430","0.070715000"
