ip.version,ip.hdr_len,ip.tos,ip.id,ip.flags,ip.flags.rb,ip.flags.df,ip.flags.mf,ip.frag_offset,ip.ttl,ip.proto,ip.checksum,ip.src,ip.dst,ip.len,ip.dsfield,tcp.srcport,tcp.dstport,tcp.seq,tcp.ack,tcp.len,tcp.hdr_len,tcp.flags,tcp.flags.fin,tcp.flags.syn,tcp.flags.reset,tcp.flags.push,tcp.flags.ack,tcp.flags.urg,tcp.flags.cwr,tcp.window_size,tcp.checksum,tcp.urgent_pointer,tcp.options.mss_val,tcp.time_delta
"4","20",,"0xaf70","0x40","0","1","0","0","64","6","0xd7d7","10.100.102.7","142.250.180.14","60","0x00","46142","443","0","0","0","40","0x0002","0","1","0","0","0","0","0","64240","0x97f8","0","1460","0.000000000"
"4","20",,"0x9357","0x00","0","0","0","0","118","6","0xfdf0","142.250.180.14","10.100.102.7","60","0x00","443","46142","0","1","0","40","0x0012","0","1","0","0","1","0","0","65535","0x033f","0","1430","0.074825000"
"4","20",,"0x0007","0x40","0","1","0","0","64","6","0x7f8e","10.100.102.7","142.250.187.193","60","0x00","40042","443","0","0","0","40","0x0002","0","1","0","0","0","0","0","64240","0x7074","0","1460","0.000000000"
"4","20",,"0xd1d9","0x00","0","0","0","0","118","6","0xb7bb","142.250.187.193","10.100.102.7","60","0x00","443","40042","0","1","0","40","0x0012","0","1","0","0","1","0","0","65535","0x9063","0","1430","0.084434000"
"4","20",,"0x90e3","0x40","0","1","0","0","64","6","0x876f","10.100.102.7","142.251.35.3","60","0x00","47700","443","0","0","0","40","0x0002","0","1","0","0","0","0","0","64240","0x635f","0","1460","0.000000000"
"4","20",,"0xd67d","0x00","0","0","0","0","118","6","0x4bd5","142.251.35.3","10.100.102.7","60","0x00","443","47700","0","1","0","40","0x0012","0","1","0","0","1","0","0","65535","0xd068","0","1430","0.195012000"
"4","20",,"0x28d8","0x40","0","1","0","0","64","6","0x5e9d","10.100.102.7","142.250.179.225","60","0x00","51764","443","0","0","0","40","0x0002","0","1","0","0","0","0","0","64240","0x051f","0","1460","0.000000000"
"4","20",,"0xe1c4","0x00","0","0","0","0","118","6","0xafb0","142.250.179.225","10.100.102.7","60","0x00","443","51764","0","1","0","40","0x0012","0","1","0","0","1","0","0","65535","0x67cd","0","1430","0.120117000"
"4","20",,"0x3018","0x40","0","1","0","0","64","6","0x5754","10.100.102.7","142.250.179.234","60","0x00","58560","443","0","0","0","40","0x0002","0","1","0","0","0","0","0","64240","0xf01e","0","1460","0.000000000"
"4","20",,"0x9fd7","0x00","0","0","0","0","118","6","0xf194","142.250.179.234","10.100.102.7","60","0x00","443","58560","0","1","0","40","0x0012","0","1","0","0","1","0","0","65535","0x6304","0","1430","0.076179000"
"4","20",,"0x231f","0x40","0","1","0","0","64","6","0x5136","10.100.102.7","172.217.169.34","60","0x00","50672","443","0","0","0","40","0x0002","0","1","0","0","0","0","0","64240","0x6126","0","1460","0.000000000"
"4","20",,"0x7e25","0x00","0","0","0","0","118","6","0x0030","172.217.169.34","10.100.102.7","60","0x00","443","50672","0","1","0","40","0x0012","0","1","0","0","1","0","0","65535","0x36e0","0","1430","0.075067000"
"4","20",,"0xc313","0x40","0","1","0","0","64","6","0xbc58","10.100.102.7","142.250.187.234","60","0x00","58858","443","0","0","0","40","0x0002","0","1","0","0","0","0","0","64240","0xeee1","0","1460","0.000000000"
"4","20",,"0x8e44","0x00","0","0","0","0","118","6","0xfb27","142.250.187.234","10.100.102.7","60","0x00","443","58858","0","1","0","40","0x0012","0","1","0","0","1","0","0","65535","0x6117","0","1430","0.074398000"
"4","20",,"0xe760","0x40","0","1","0","0","64","6","0x4b15","10.100.102.7","2.20.149.199","60","0x00","52064","443","0","0","0","40","0x0002","0","1","0","0","0","0","0","64240","0x1be4","0","1460","0.000000000"
"4","20",,"0xd58c","0x40","0","1","0","0","64","6","0x5ce9","10.100.102.7","2.20.149.199","60","0x00","52066","443","0","0","0","40","0x0002","0","1","0","0","0","0","0","64240","0xe5a0","0","1460","0.000000000"
"4","20",,"0x0000","0x40","0","1","0","0","47","6","0x4376","2.20.149.199","10.100.102.7","60","0x00","443","52064","0","1","0","40","0x0012","0","1","0","0","1","0","0","65160","0xad81","0","1460","0.125941000"
"4","20",,"0x0000","0x40","0","1","0","0","47","6","0x4376","2.20.149.199","10.100.102.7","60","0x00","443","52066","0","1","0","40","0x0012","0","1","0","0","1","0","0","65160","0x195d","0","1460","0.125828000"
"4","20",,"0x5b40","0x40","0","1","0","0","64","6","0xd735","10.100.102.7","2.20.149.199","60","0x00","52068","443","0","0","0","40","0x0002","0","1","0","0","0","0","0","64240","0xd996","0","1460","0.000000000"
"4","20",,"0x363a","0x40","0","1","0","0","64","6","0xfc3b","10.100.102.7","2.20.149.199","60","0x00","52070","443","0","0","0","40","0x0002","0","1","0","0","0","0","0","64240","0x1076","0","1460","0.000000000"
"4","20",,"0xb70b","0x40","0","1","0","0","64","6","0x7b6a","10.100.102.7","2.20.149.199","60","0x00","52072","443","0","0","0","40","0x0002","0","1","0","0","0","0","0","64240","0xc508","0","1460","0.000000000"
"4","20",,"0x41b8","0x40","0","1","0","0","64","6","0x7b8c","10.100.102.7","13.225.255.43","60","0x00","46120","443","0","0","0","40","0x0002","0","1","0","0","0","0","0","64240","0xa113","0","1460","0.000000000"
"4","20",,"0x7c1a","0x40","0","1","0","0","64","6","0x412a","10.100.102.7","13.225.255.43","60","0x00","46122","443","0","0","0","40","0x0002","0","1","0","0","0","0","0","64240","0xa328","0","1460","0.000000000"
"4","20",,"0xaab6","0x40","0","1","0","0","64","6","0x128e","10.100.102.7","13.225.255.43","60","0x00","46124","443","0","0","0","40","0x0002","0","1","0","0","0","0","0","64240","0x8490","0","1460","0.000000000"
"4","20",,"0xb667","0x40","0","1","0","0","64","6","0x06dd","10.100.102.7","13.225.255.43","60","0x00","46126","443","0","0","0","40","0x0002","0","1","0","0","0","0","0","64240","0xa422","0","1460","0.000000000"
"4","20",,"0x1800","0x40","0","1","0","0","64","6","0xa544","10.100.102.7","13.225.255.43","60","0x00","46128","443","0","0","0","40","0x0002","0","1","0","0","0","0","0","64240","0x98c1","0","1460","0.000000000"
"4","20",,"0x272a","0x40","0","1","0","0","64","6","0x961a","10.100.102.7","13.225.255.43","60","0x00","46130","443","0","0","0","40","0x0002","0","1","0","0","0","0","0","64240","0xd7ee","0","1460","0.000000000"
"4","20",,"0x68ff","0x40","0","1","0","0","64","6","0x5467","10.100.102.7","13.225.255.9","60","0x00","43498","443","0","0","0","40","0x0002","0","1","0","0","0","0","0","64240","0x5f7f","0","1460","0.000000000"
"4","20",,"0x3e45","0x40","0","1","0","0","64","6","0x3630","10.100.102.7","172.217.169.2","60","0x00","50726","443","0","0","0","40","0x0002","0","1","0","0","0","0","0","64240","0x7780","0","1460","0.000000000"
"4","20",,"0xf8d0","0x40","0","1","0","0","64","6","0x39a5","10.100.102.7","2.20.149.199","60","0x00","52090","443","0","0","0","40","0x0002","0","1","0","0","0","0","0","64240","0x0642","0","1460","0.000000000"
"4","20",,"0x004f","0x40","0","1","0","0","64","6","0x3227","10.100.102.7","2.20.149.199","60","0x00","52092","443","0","0","0","40","0x0002","0","1","0","0","0","0","0","64240","0x8a95","0","1460","0.000000000"
"4","20",,"0x0000","0x40","0","1","0","0","47","6","0x4376","2.20.149.199","10.100.102.7","60","0x00","443","52068","0","1","0","40","0x0012","0","1","0","0","1","0","0","65160","0x85ef","0","1460","0.215015000"
"4","20",,"0x0000","0x40","0","1","0","0","47","6","0x4376","2.20.149.199","10.100.102.7","60","0x00","443","52070","0","1","0","40","0x0012","0","1","0","0","1","0","0","65160","0xe0fb","0","1460","0.214974000"
"4","20",,"0x0000","0x40","0","1","0","0","47","6","0x4376","2.20.149.199","10.100.102.7","60","0x00","443","52072","0","1","0","40","0x0012","0","1","0","0","1","0","0","65160","0xb6da","0","1460","0.214244000"
"4","20",,"0x9cf0","0x00","0","0","0","0","244","6","0xac53","13.225.255.43","10.100.102.7","60","0x00","443","46120","0","1","0","40","0x0012","0","1","0","0","1","0","0","65535","0x34a8","0","1440","0.194461000"
"4","20",,"0xfaa2","0x00","0","0","0","0","244","6","0x4ea1","13.225.255.43","10.100.102.7","60","0x00","443","46122","0","1","0","40","0x0012","0","1","0","0","1","0","0","65535","0x8b53","0","1440","0.194368000"
"4","20",,"0x8c0c","0x00","0","0","0","0","244","6","0xbd37","13.225.255.43","10.100.102.7","60","0x00","443","46124","0","1","0","40","0x0012","0","1","0","0","1","0","0","65535","0x55b7","0","1440","0.194337000"
"4","20",,"0x14de","0x40","0","1","0","0","64","6","0xa888","10.100.102.7","13.225.255.9","60","0x00","43506","443","0","0","0","40","0x0002","0","1","0","0","0","0","0","64240","0x804d","0","1460","0.000000000"
"4","20",,"0x601b","0x00","0","0","0","0","244","6","0xe928","13.225.255.43","10.100.102.7","60","0x00","443","46126","0","1","0","40","0x0012","0","1","0","0","1","0","0","65535","0x2725","0","1440","0.219114000"
"4","20",,"0xe173","0x00","0","0","0","0","244","6","0x67d0","13.225.255.43","10.100.102.7","60","0x00","443","46128","0","1","0","40","0x0012","0","1","0","0","1","0","0","65535","0xca24","0","1440","0.219121000"
"4","20",,"0x8c0d","0x00","0","0","0","0","244","6","0xbd36","13.225.255.43","10.100.102.7","60","0x00","443","46130","0","1","0","40","0x0012","0","1","0","0","1","0","0","65535","0x85e0","0","1440","0.219098000"
"4","20",,"0x83fc","0x00","0","0","0","0","244","6","0xc569","13.225.255.9","10.100.102.7","60","0x00","443","43498","0","1","0","40","0x0012","0","1","0","0","1","0","0","65535","0x4b42","0","1440","0.169768000"
"4","20",,"0x717e","0x00","0","0","0","0","118","6","0x0cf7","172.217.169.2","10.100.102.7","60","0x00","443","50726","0","1","0","40","0x0012","0","1","0","0","1","0","0","65535","0xef44","0","1430","0.145693000"
"4","20",,"0x8021","0x00","0","0","0","0","243","6","0xca44","13.225.255.9","10.100.102.7","60","0x00","443","43506","0","1","0","40","0x0012","0","1","0","0","1","0","0","65535","0x0445","0","1440","0.044255000"
"4","20",,"0x0000","0x40","0","1","0","0","47","6","0x4376","2.20.149.199","10.100.102.7","60","0x00","443","52090","0","1","0","40","0x0012","0","1","0","0","1","0","0","65160","0x0f82","0","1460","0.153083000"
"4","20",,"0x0000","0x40","0","1","0","0","47","6","0x4376","2.20.149.199","10.100.102.7","60","0x00","443","52092","0","1","0","40","0x0012","0","1","0","0","1","0","0","65160","0x8028","0","1460","0.149604000"
"4","20",,"0xf80a","0x40","0","1","0","0","64","6","0xc539","10.100.102.7","13.225.255.43","60","0x00","46142","443","0","0","0","40","0x0002","0","1","0","0","0","0","0","64240","0x1534","0","1460","0.000000000"
"4","20",,"0xb34f","0x40","0","1","0","0","64","6","0x09f5","10.100.102.7","13.225.255.43","60","0x00","46144","443","0","0","0","40","0x0002","0","1","0","0","0","0","0","64240","0xefdd","0","1460","0.000000000"
"4","20",,"0x60c2","0x00","0","0","0","0","244","6","0xe881","13.225.255.43","10.100.102.7","60","0x00","443","46142","0","1","0","40","0x0012","0","1","0","0","1","0","0","65535","0x3386","0","1440","0.020841000"
"4","20",,"0x7179","0x00","0","0","0","0","244","6","0xd7ca","13.225.255.43","10.100.102.7","60","0x00","443","46144","0","1","0","40","0x0012","0","1","0","0","1","0","0","65535","0x8f23","0","1440","0.020686000"
"4","20",,"0xb83a","0x40","0","1","0","0","64","6","0xa371","10.100.102.7","104.26.6.139","60","0x00","50116","443","0","0","0","40","0x0002","0","1","0","0","0","0","0","64240","0x26a9","0","1460","0.000000000"
"4","20",,"0x0000","0x40","0","1","0","0","53","6","0x66b4","104.26.6.139","10.100.102.7","52","0x00","443","50116","0","1","0","32","0x0012","0","1","0","0","1","0","0","65535","0x2959","0","1400","0.083587000"
"4","20",,"0x0ac2","0x40","0","1","0","0","64","6","0x27b4","10.100.102.7","2.20.149.199","60","0x00","52102","443","0","0","0","40","0x0002","0","1","0","0","0","0","0","64240","0x1ea9","0","1460","0.000000000"
"4","20",,"0x921e","0x40","0","1","0","0","64","6","0x867d","10.100.102.7","65.9.112.172","60","0x00","44810","443","0","0","0","40","0x0002","0","1","0","0","0","0","0","64240","0x3238","0","1460","0.000000000"
"4","20",,"0x719a","0x40","0","1","0","0","64","6","0xa71a","10.100.102.7","65.9.112.147","60","0x00","55574","443","0","0","0","40","0x0002","0","1","0","0","0","0","0","64240","0x5106","0","1460","0.000000000"
"4","20",,"0x8367","0x40","0","1","0","0","64","6","0x5369","10.100.102.7","172.67.71.61","60","0x00","45292","443","0","0","0","40","0x0002","0","1","0","0","0","0","0","64240","0xbe58","0","1460","0.000000000"
"4","20",,"0x76de","0x40","0","1","0","0","64","6","0x5529","10.100.102.7","104.19.150.54","60","0x00","43720","443","0","0","0","40","0x0002","0","1","0","0","0","0","0","64240","0xe0c1","0","1460","0.000000000"
"4","20",,"0xb84d","0x40","0","1","0","0","64","6","0x1fc9","10.100.102.7","172.67.69.247","60","0x00","47146","443","0","0","0","40","0x0002","0","1","0","0","0","0","0","64240","0xd6a0","0","1460","0.000000000"
"4","20",,"0x9dd1","0x00","0","0","0","0","243","6","0x07ca","65.9.112.172","10.100.102.7","60","0x00","443","44810","0","1","0","40","0x0012","0","1","0","0","1","0","0","65535","0x22ed","0","1440","0.033289000"
"4","20",,"0x0000","0x40","0","1","0","0","47","6","0x4376","2.20.149.199","10.100.102.7","60","0x00","443","52102","0","1","0","40","0x0012","0","1","0","0","1","0","0","65160","0xd68b","0","1460","0.128005000"
"4","20",,"0xaaee","0x40","0","1","0","0","64","6","0x8787","10.100.102.7","2.20.149.199","60","0x00","52114","443","0","0","0","40","0x0002","0","1","0","0","0","0","0","64240","0x6ba0","0","1460","0.000000000"
"4","20",,"0x13e0","0x00","0","0","0","0","244","6","0x90d4","65.9.112.147","10.100.102.7","60","0x00","443","55574","0","1","0","40","0x0012","0","1","0","0","1","0","0","65535","0xe66f","0","1440","0.134330000"
"4","20",,"0xc58a","0x40","0","1","0","0","64","6","0xaea4","10.100.102.7","172.217.169.72","60","0x00","39276","443","0","0","0","40","0x0002","0","1","0","0","0","0","0","64240","0xa050","0","1460","0.000000000"
"4","20",,"0x3d16","0x40","0","1","0","0","64","6","0x99ba","10.100.102.7","172.67.71.61","60","0x00","45302","443","0","0","0","40","0x0002","0","1","0","0","0","0","0","64240","0xe4d3","0","1460","0.000000000"
"4","20",,"0xb0e8","0x40","0","1","0","0","64","6","0x1b1f","10.100.102.7","104.19.150.54","60","0x00","43730","443","0","0","0","40","0x0002","0","1","0","0","0","0","0","64240","0xc53c","0","1460","0.000000000"
"4","20",,"0x0000","0x40","0","1","0","0","53","6","0xd70f","104.19.150.54","10.100.102.7","52","0x00","443","43720","0","1","0","32","0x0012","0","1","0","0","1","0","0","65535","0x38a9","0","1400","0.188734000"
"4","20",,"0x0000","0x40","0","1","0","0","53","6","0xe31e","172.67.69.247","10.100.102.7","52","0x00","443","47146","0","1","0","32","0x0012","0","1","0","0","1","0","0","65535","0x1f40","0","1400","0.181353000"
