ip.version,ip.hdr_len,ip.tos,ip.id,ip.flags,ip.flags.rb,ip.flags.df,ip.flags.mf,ip.frag_offset,ip.ttl,ip.proto,ip.checksum,ip.src,ip.dst,ip.len,ip.dsfield,tcp.srcport,tcp.dstport,tcp.seq,tcp.ack,tcp.len,tcp.hdr_len,tcp.flags,tcp.flags.fin,tcp.flags.syn,tcp.flags.reset,tcp.flags.push,tcp.flags.ack,tcp.flags.urg,tcp.flags.cwr,tcp.window_size,tcp.checksum,tcp.urgent_pointer,tcp.options.mss_val,tcp.time_delta
"4","20",,"0x0000a078","0x00000040","0","1","0","0","128","6","0x00002c4f","132.73.223.74","213.254.244.105","52","0x00000000","64212","443","0","0","0","32","0x00000002","0","1","0","0","0","0","0","64240","0x00007b21","0","1460","0.000000000"
"4","20",,"0x0000a079","0x00000040","0","1","0","0","128","6","0x00002c4e","132.73.223.74","213.254.244.105","52","0x00000000","64213","443","0","0","0","32","0x00000002","0","1","0","0","0","0","0","64240","0x0000dce1","0","1460","0.000000000"
"4","20",,"0x00000000","0x00000040","0","1","0","0","48","6","0x00001c4c","213.254.244.105","132.73.223.74","48","0x00000080","443","64212","0","1","0","28","0x00000012","0","1","0","0","1","0","0","42340","0x000061bc","0","1460","0.073714000"
"4","20",,"0x00000000","0x00000040","0","1","0","0","48","6","0x00001c4c","213.254.244.105","132.73.223.74","48","0x00000080","443","64213","0","1","0","28","0x00000012","0","1","0","0","1","0","0","42340","0x00005f4e","0","1460","0.072204000"
"4","20",,"0x00002678","0x00000040","0","1","0","0","128","6","0x0000cce1","132.73.223.74","23.227.139.243","52","0x00000000","64214","443","0","0","0","32","0x00000002","0","1","0","0","0","0","0","64240","0x000095fd","0","1460","0.000000000"
"4","20",,"0x00000000","0x00000040","0","1","0","0","47","6","0x000043da","23.227.139.243","132.73.223.74","52","0x00000080","443","64214","0","1","0","32","0x00000012","0","1","0","0","1","0","0","42340","0x0000a79b","0","1460","0.137668000"
"4","20",,"0x00008b8b","0x00000040","0","1","0","0","128","6","0x00002984","132.73.223.74","198.148.27.140","52","0x00000000","64215","443","0","0","0","32","0x00000002","0","1","0","0","0","0","0","64240","0x00005f11","0","1460","0.000000000"
"4","20",,"0x00000000","0x00000040","0","1","0","0","47","6","0x00000590","198.148.27.140","132.73.223.74","52","0x00000080","443","64215","0","1","0","32","0x00000012","0","1","0","0","1","0","0","42340","0x0000c3fc","0","1460","0.147516000"
"4","20",,"0x00009a2a","0x00000040","0","1","0","0","128","6","0x00000b22","132.73.223.74","92.122.149.105","52","0x00000000","64216","443","0","0","0","32","0x00000002","0","1","0","0","0","0","0","64240","0x00008b3e","0","1460","0.000000000"
"4","20",,"0x0000a084","0x00000040","0","1","0","0","128","6","0x00002c43","132.73.223.74","213.254.244.105","52","0x00000000","64217","443","0","0","0","32","0x00000002","0","1","0","0","0","0","0","64240","0x0000d0cc","0","1460","0.000000000"
"4","20",,"0x0000a087","0x00000040","0","1","0","0","128","6","0x00002c40","132.73.223.74","213.254.244.105","52","0x00000000","64218","443","0","0","0","32","0x00000002","0","1","0","0","0","0","0","64240","0x0000f8c4","0","1460","0.000000000"
"4","20",,"0x0000a088","0x00000040","0","1","0","0","128","6","0x00002c3f","132.73.223.74","213.254.244.105","52","0x00000000","64219","443","0","0","0","32","0x00000002","0","1","0","0","0","0","0","64240","0x0000ea14","0","1460","0.000000000"
"4","20",,"0x0000a089","0x00000040","0","1","0","0","128","6","0x00002c3e","132.73.223.74","213.254.244.105","52","0x00000000","64220","443","0","0","0","32","0x00000002","0","1","0","0","0","0","0","64240","0x00001973","0","1460","0.000000000"
"4","20",,"0x00000000","0x00000040","0","1","0","0","58","6","0x0000eaa8","92.122.149.105","132.73.223.74","52","0x000000a4","443","64216","0","1","0","32","0x00000012","0","1","0","0","1","0","0","64240","0x0000aa6f","0","1460","0.063770000"
"4","20",,"0x00000000","0x00000040","0","1","0","0","49","6","0x00001b4c","213.254.244.105","132.73.223.74","48","0x00000080","443","64219","0","1","0","28","0x00000012","0","1","0","0","1","0","0","42340","0x0000c57c","0","1460","0.073118000"
"4","20",,"0x00000000","0x00000040","0","1","0","0","49","6","0x00001b4c","213.254.244.105","132.73.223.74","48","0x00000080","443","64217","0","1","0","28","0x00000012","0","1","0","0","1","0","0","42340","0x0000c16e","0","1460","0.077638000"
"4","20",,"0x00000000","0x00000040","0","1","0","0","49","6","0x00001b4c","213.254.244.105","132.73.223.74","48","0x00000080","443","64218","0","1","0","28","0x00000012","0","1","0","0","1","0","0","42340","0x00002380","0","1460","0.076408000"
"4","20",,"0x00000000","0x00000040","0","1","0","0","48","6","0x00001c4c","213.254.244.105","132.73.223.74","48","0x00000080","443","64220","0","1","0","28","0x00000012","0","1","0","0","1","0","0","42340","0x00003e36","0","1460","0.073223000"
"4","20",,"0x00006c12","0x00000040","0","1","0","0","128","6","0x0000c685","132.73.223.74","213.8.143.143","52","0x00000000","64221","80","0","0","0","32","0x00000002","0","1","0","0","0","0","0","64240","0x0000153b","0","1460","0.000000000"
"4","20",,"0x0000a9c6","0x00000040","0","1","0","0","128","6","0x000088d0","132.73.223.74","213.8.143.144","52","0x00000000","64222","443","0","0","0","32","0x00000002","0","1","0","0","0","0","0","64240","0x0000e2a8","0","1460","0.000000000"
"4","20",,"0x00006c13","0x00000040","0","1","0","0","128","6","0x0000c684","132.73.223.74","213.8.143.143","52","0x00000000","64223","80","0","0","0","32","0x00000002","0","1","0","0","0","0","0","64240","0x00005d99","0","1460","0.000000000"
"4","20",,"0x00000459","0x00000040","0","1","0","0","244","6","0x0000ba3e","213.8.143.143","132.73.223.74","52","0x00000000","80","64221","0","1","0","32","0x00000012","0","1","0","0","1","0","0","4380","0x0000bb1a","0","1460","0.005766000"
"4","20",,"0x00000464","0x00000040","0","1","0","0","244","6","0x0000ba32","213.8.143.144","132.73.223.74","52","0x00000000","443","64222","0","1","0","32","0x00000012","0","1","0","0","1","0","0","4380","0x00006df5","0","1460","0.007919000"
"4","20",,"0x000004b0","0x00000040","0","1","0","0","244","6","0x0000b9e7","213.8.143.143","132.73.223.74","52","0x00000000","80","64223","0","1","0","32","0x00000012","0","1","0","0","1","0","0","4380","0x0000e20a","0","1460","0.007437000"
"4","20",,"0x00006c17","0x00000040","0","1","0","0","128","6","0x0000c680","132.73.223.74","213.8.143.143","52","0x00000000","64224","443","0","0","0","32","0x00000002","0","1","0","0","0","0","0","64240","0x00008b96","0","1460","0.000000000"
"4","20",,"0x00000564","0x00000040","0","1","0","0","244","6","0x0000b933","213.8.143.143","132.73.223.74","52","0x00000000","443","64224","0","1","0","32","0x00000012","0","1","0","0","1","0","0","4380","0x0000bf20","0","1460","0.006019000"
"4","20",,"0x000014fb","0x00000040","0","1","0","0","128","6","0x00005e02","132.73.223.74","13.107.22.200","52","0x00000000","64225","443","0","0","0","32","0x00000002","0","1","0","0","0","0","0","65535","0x00006587","0","1460","0.000000000"
"4","20",,"0x00002077","0x00000040","0","1","0","0","114","6","0x00005fe2","13.107.22.200","132.73.223.74","52","0x000000a4","443","64225","0","1","0","32","0x00000012","0","1","0","0","1","0","0","65535","0x0000a5e7","0","1440","0.068314000"
"4","20",,"0x0000d2c5","0x00000040","0","1","0","0","128","6","0x0000eef7","132.73.223.74","86.104.127.10","52","0x00000000","64226","443","0","0","0","32","0x00000002","0","1","0","0","0","0","0","64240","0x00008da5","0","1460","0.000000000"
"4","20",,"0x00000000","0x00000040","0","1","0","0","55","6","0x00000a1a","86.104.127.10","132.73.223.74","52","0x000000a4","443","64226","0","1","0","32","0x00000012","0","1","0","0","1","0","0","42340","0x00004754","0","1460","0.084581000"
"4","20",,"0x0000940b","0x00000040","0","1","0","0","128","6","0x000010c0","132.73.223.74","92.122.149.234","52","0x00000000","64227","443","0","0","0","32","0x00000002","0","1","0","0","0","0","0","64240","0x00004140","0","1460","0.000000000"
"4","20",,"0x00000000","0x00000040","0","1","0","0","58","6","0x0000ea27","92.122.149.234","132.73.223.74","52","0x000000a4","443","64227","0","1","0","32","0x00000012","0","1","0","0","1","0","0","64240","0x00006937","0","1460","0.071428000"
"4","20",,"0x0000275c","0x00000040","0","1","0","0","128","6","0x0000012f","132.73.223.74","104.26.6.139","52","0x00000000","64228","443","0","0","0","32","0x00000002","0","1","0","0","0","0","0","64240","0x00000381","0","1460","0.000000000"
"4","20",,"0x00000000","0x00000040","0","1","0","0","57","6","0x00006ee7","104.26.6.139","132.73.223.74","52","0x000000a4","443","64228","0","1","0","32","0x00000012","0","1","0","0","1","0","0","65535","0x00001d65","0","1400","0.058376000"
"4","20",,"0x0000c7fd","0x00000040","0","1","0","0","128","6","0x00003ce7","132.73.223.74","13.224.132.107","52","0x00000000","64229","443","0","0","0","32","0x00000002","0","1","0","0","0","0","0","64240","0x00004faa","0","1460","0.000000000"
"4","20",,"0x0000a9d1","0x00000040","0","1","0","0","128","6","0x000088c5","132.73.223.74","213.8.143.144","52","0x00000000","64230","443","0","0","0","32","0x00000002","0","1","0","0","0","0","0","64240","0x0000d0d1","0","1460","0.000000000"
"4","20",,"0x0000a9d2","0x00000040","0","1","0","0","128","6","0x000088c4","132.73.223.74","213.8.143.144","52","0x00000000","64231","443","0","0","0","32","0x00000002","0","1","0","0","0","0","0","64240","0x000072d2","0","1460","0.000000000"
"4","20",,"0x00005146","0x00000040","0","1","0","0","244","6","0x00006d50","213.8.143.144","132.73.223.74","52","0x00000000","443","64230","0","1","0","32","0x00000012","0","1","0","0","1","0","0","4380","0x00008b46","0","1460","0.006608000"
"4","20",,"0x0000846e","0x00000040","0","1","0","0","243","6","0x00003b28","213.8.143.144","132.73.223.74","52","0x00000000","443","64231","0","1","0","32","0x00000012","0","1","0","0","1","0","0","4380","0x0000f265","0","1460","0.007445000"
"4","20",,"0x0000c7fe","0x00000040","0","1","0","0","128","6","0x00003ce6","132.73.223.74","13.224.132.107","52","0x00000000","64232","443","0","0","0","32","0x00000002","0","1","0","0","0","0","0","64240","0x000090ab","0","1460","0.000000000"
"4","20",,"0x0000dc43","0x00000000","0","0","0","0","239","6","0x0000f8fc","13.224.132.107","132.73.223.74","52","0x000000a4","443","64229","0","1","0","32","0x00000012","0","1","0","0","1","0","0","65535","0x000067fc","0","1440","0.066009000"
"4","20",,"0x0000cfef","0x00000000","0","0","0","0","239","6","0x00000551","13.224.132.107","132.73.223.74","52","0x000000a4","443","64232","0","1","0","32","0x00000012","0","1","0","0","1","0","0","65535","0x0000c65e","0","1440","0.063266000"
"4","20",,"0x00006c21","0x00000040","0","1","0","0","128","6","0x0000c676","132.73.223.74","213.8.143.143","52","0x00000000","64233","443","0","0","0","32","0x00000002","0","1","0","0","0","0","0","64240","0x000095a9","0","1460","0.000000000"
"4","20",,"0x0000867d","0x00000040","0","1","0","0","244","6","0x0000381a","213.8.143.143","132.73.223.74","52","0x00000000","443","64233","0","1","0","32","0x00000012","0","1","0","0","1","0","0","4380","0x0000dec1","0","1460","0.006611000"
"4","20",,"0x000096bf","0x00000040","0","1","0","0","128","6","0x00008c98","132.73.223.74","35.206.80.10","52","0x00000000","64234","443","0","0","0","32","0x00000002","0","1","0","0","0","0","0","64240","0x0000431b","0","1460","0.000000000"
"4","20",,"0x000096c0","0x00000040","0","1","0","0","128","6","0x00008c97","132.73.223.74","35.206.80.10","52","0x00000000","64235","443","0","0","0","32","0x00000002","0","1","0","0","0","0","0","64240","0x0000acb6","0","1460","0.000000000"
