ip.version,ip.hdr_len,ip.tos,ip.id,ip.flags,ip.flags.rb,ip.flags.df,ip.flags.mf,ip.frag_offset,ip.ttl,ip.proto,ip.checksum,ip.src,ip.dst,ip.len,ip.dsfield,tcp.srcport,tcp.dstport,tcp.seq,tcp.ack,tcp.len,tcp.hdr_len,tcp.flags,tcp.flags.fin,tcp.flags.syn,tcp.flags.reset,tcp.flags.push,tcp.flags.ack,tcp.flags.urg,tcp.flags.cwr,tcp.window_size,tcp.checksum,tcp.urgent_pointer,tcp.options.mss_val,tcp.time_delta
"4","20",,"0x00000000","0x00000040","0","1","0","0","64","6","0x00005eb0","192.168.1.56","104.78.177.217","64","0x00000000","57627","443","0","0","0","44","0x00000002","0","1","0","0","0","0","0","65535","0x00009bb3","0","1460","0.000000000"
"4","20",,"0x00000000","0x00000040","0","1","0","0","57","6","0x000065b4","104.78.177.217","192.168.1.56","60","0x00000000","443","57627","0","1","0","40","0x00000012","0","1","0","0","1","0","0","65160","0x0000b4c3","0","1360","0.072669000"
"4","20",,"0x00000000","0x00000040","0","1","0","0","64","6","0x0000b85b","192.168.1.56","172.217.19.163","64","0x00000000","57628","443","0","0","0","44","0x00000002","0","1","0","0","0","0","0","65535","0x0000e4fb","0","1460","0.000000000"
"4","20",,"0x00000000","0x00000040","0","1","0","0","64","6","0x00004b2b","192.168.1.56","95.100.206.72","64","0x00000000","57633","443","0","0","0","44","0x00000002","0","1","0","0","0","0","0","65535","0x0000b4fa","0","1460","0.000000000"
"4","20",,"0x00000000","0x00000040","0","1","0","0","60","6","0x00004f2f","95.100.206.72","192.168.1.56","60","0x00000000","443","57633","0","1","0","40","0x00000012","0","1","0","0","1","0","0","65160","0x0000df75","0","1360","0.016971000"
"4","20",,"0x00009b3e","0x00000000","0","0","0","0","111","6","0x00002e21","172.217.19.163","192.168.1.56","60","0x00000000","443","57628","0","1","0","40","0x00000012","0","1","0","0","1","0","0","65535","0x000063bb","0","1360","0.153648000"
"4","20",,"0x00000000","0x00000040","0","1","0","0","64","6","0x0000b9f1","192.168.1.56","46.228.144.2","64","0x00000000","57634","443","0","0","0","44","0x00000002","0","1","0","0","0","0","0","65535","0x0000c343","0","1460","0.000000000"
"4","20",,"0x00000000","0x00000040","0","1","0","0","64","6","0x0000b9f1","192.168.1.56","46.228.144.2","64","0x00000000","57635","443","0","0","0","44","0x00000002","0","1","0","0","0","0","0","65535","0x00002114","0","1460","0.000000000"
"4","20",,"0x00000000","0x00000040","0","1","0","0","64","6","0x0000b9f1","192.168.1.56","46.228.144.2","64","0x00000000","57636","443","0","0","0","44","0x00000002","0","1","0","0","0","0","0","65535","0x000016fc","0","1460","0.000000000"
"4","20",,"0x00000000","0x00000040","0","1","0","0","64","6","0x0000b9f1","192.168.1.56","46.228.144.2","64","0x00000000","57637","443","0","0","0","44","0x00000002","0","1","0","0","0","0","0","65535","0x00001923","0","1460","0.000000000"
